MU;Nb_Spikes;Fr_Hz;CoV_%;PNR_dB;Correlation_CCA
MU_1;16;5,3942;15,1776;11,0845;1,0
MU_2;16;5,4396;23,6123;11,3574;1,0
MU_3;28;9,2643;29,7616;11,088;1,0
MU_4;15;8,1986;12,7987;11,1135;1,0
MU_5;16;3,0785;25,4768;11,3495;1,0
MU_6;27;7,1269;30,281;11,2747;0,9998
MU_7;15;3,1605;17,4055;11,2814;0,9836
MU_8;15;5,3854;19,669;11,105;0,9804
MU_9;16;5,2513;26,9264;12,0753;0,9256
MU_10;15;3,4269;21,273;11,6915;0,9011
MU_11;16;3,2698;30,7278;11,6934;0,8829
MU_12;30;8,2458;28,4366;11,0431;0,873
MU_13;21;6,2123;25,1932;11,3256;0,8676
MU_14;17;8,3806;21,3563;11,4819;0,856
