MU;Nb_Spikes;Fr_Hz;CoV_%;PNR_dB;Correlation_CCA
MU_1;15;5,1051;23,9074;11,2387;1,0
MU_2;17;4,5511;29,6401;11,5209;0,9977
MU_3;20;4,6066;30,839;11,123;0,9935
MU_4;19;5,6536;26,8303;11,1696;0,9898
MU_5;20;4,9231;27,9506;11,1365;0,9827
MU_6;16;3,3348;30,2118;11,0235;0,977
MU_7;20;6,5269;23,9533;11,6187;0,97
MU_8;16;4,1955;32,416;11,876;0,9626
MU_9;28;6,8426;29,1009;11,0186;0,9546
MU_10;22;5,4209;21,6085;11,4855;0,9499
MU_11;18;5,1996;31,5065;11,1783;0,9457
MU_12;17;7,1029;29,0705;13,9016;0,9102
MU_13;17;8,9825;29,7891;13,6734;0,9033
MU_14;35;11,7938;31,4371;12,0086;0,8909
MU_15;22;7,2367;19,5755;11,8242;0,8773
