MU;Nb_Spikes;Fr_Hz;CoV_%;PNR_dB;Correlation_CCA
MU_1;23;7,3024;27,6513;11,0337;0,998
MU_2;15;5,6627;23,0112;11,7832;0,9957
MU_3;18;9,6775;31,0994;11,0068;0,9897
MU_4;18;6,0288;27,9718;11,2652;0,9846
MU_5;18;3,7965;18,8369;11,2566;0,9682
MU_6;15;3,8218;33,5917;11,993;0,9592
MU_7;23;5,7574;29,047;11,0293;0,9571
MU_8;15;4,0566;28,5204;12,1243;0,9358
MU_9;26;7,8769;34,1933;11,2349;0,9347
MU_10;22;5,6277;26,3867;11,5407;0,9304
MU_11;17;3,2093;22,6658;14,4649;0,9084
MU_12;15;2,7676;15,0034;12,2851;0,8981
MU_13;19;4,3935;17,2974;11,7558;0,8974
MU_14;15;5,3966;17,4761;12,8734;0,882
MU_15;36;9,7206;25,2879;11,0824;0,87
