MU;Nb_Spikes;Fr_Hz;CoV_%;PNR_dB;Correlation_CCA
MU_1;16;6,9277;18,0948;10,703;0,9996
MU_2;18;5,849;11,0014;10,2688;0,998
MU_3;15;5,5376;24,5235;11,5881;0,9971
MU_4;21;5,8058;17,3135;10,5141;0,9947
MU_5;16;7,2062;14,8342;12,2707;0,9826
MU_6;21;16,6504;22,9901;10,6416;0,9581
MU_7;15;5,4372;24,6267;10,586;0,9266
MU_8;24;7,778;24,3902;10,058;0,9145
MU_9;25;7,1359;24,098;10,548;0,9035
MU_10;22;4,0585;17,9513;10,1883;0,8978
MU_11;16;2,8537;15,6863;10,6705;0,8972
MU_12;25;6,6819;23,6348;10,3215;0,8941
