1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
118.0;81.0;72.0;54.0;131.0;120.0;86.0;55.0;52.0;57.0;67.0;161.0;53.0;87.0;61.0;54.0;85.0;54.0;96.0
155.0;196.0;110.0;219.0;167.0;154.0;188.0;127.0;120.0;81.0;148.0;275.0;88.0;149.0;100.0;84.0;135.0;107.0;140.0
299.0;249.0;163.0;245.0;342.0;204.0;277.0;168.0;155.0;128.0;177.0;382.0;189.0;170.0;177.0;190.0;171.0;128.0;200.0
351.0;357.0;246.0;322.0;376.0;254.0;342.0;328.0;516.0;172.0;224.0;420.0;243.0;397.0;215.0;321.0;202.0;179.0;306.0
597.0;499.0;266.0;364.0;578.0;275.0;393.0;564.0;581.0;196.0;354.0;466.0;276.0;430.0;346.0;404.0;244.0;205.0;369.0
646.0;578.0;347.0;399.0;649.0;521.0;478.0;602.0;804.0;240.0;388.0;496.0;384.0;488.0;404.0;472.0;296.0;245.0;460.0
787.0;712.0;534.0;515.0;699.0;589.0;543.0;632.0;856.0;378.0;443.0;539.0;436.0;602.0;456.0;505.0;338.0;272.0;494.0
911.0;883.0;556.0;635.0;736.0;653.0;586.0;680.0;882.0;451.0;520.0;570.0;553.0;635.0;486.0;538.0;392.0;325.0;561.0
1739.0;991.0;606.0;705.0;885.0;679.0;663.0;700.0;922.0;471.0;601.0;633.0;578.0;701.0;509.0;678.0;688.0;390.0;604.0
1933.0;1034.0;672.0;857.0;984.0;712.0;836.0;782.0;964.0;632.0;666.0;726.0;670.0;727.0;641.0;771.0;784.0;417.0;704.0
2010.0;1170.0;719.0;928.0;1056.0;808.0;882.0;803.0;1002.0;691.0;706.0;830.0;876.0;825.0;704.0;801.0;812.0;448.0;755.0
2142.0;1215.0;756.0;954.0;1113.0;884.0;963.0;851.0;1101.0;827.0;790.0;864.0;1030.0;850.0;847.0;913.0;857.0;604.0;829.0
2266.0;1330.0;780.0;1030.0;1172.0;951.0;1012.0;877.0;1153.0;906.0;1049.0;956.0;1084.0;944.0;934.0;1102.0;878.0;632.0;883.0
2425.0;1534.0;825.0;1101.0;1290.0;992.0;1268.0;1031.0;1434.0;979.0;1100.0;990.0;1127.0;978.0;1024.0;1155.0;909.0;693.0;949.0
2722.0;1573.0;1092.0;1245.0;1321.0;1022.0;1323.0;1073.0;1486.0;1103.0;1133.0;1015.0;1254.0;1137.0;1148.0;1209.0;952.0;759.0;974.0
2828.0;1628.0;1124.0;1269.0;1376.0;1076.0;1396.0;1245.0;1550.0;1141.0;1270.0;1070.0;1279.0;1157.0;1307.0;1289.0;976.0;819.0;1130.0
2866.0;1746.0;1214.0;1325.0;1457.0;1136.0;1528.0;1301.0;1604.0;1290.0;1321.0;1090.0;1306.0;1194.0;1438.0;1358.0;1088.0;840.0;1187.0
3072.0;1982.0;1417.0;1357.0;1596.0;1291.0;1591.0;1461.0;1655.0;1347.0;1348.0;1144.0;1453.0;1371.0;1542.0;1407.0;1245.0;965.0;1317.0
3938.0;2123.0;1487.0;1577.0;1662.0;1370.0;1689.0;1484.0;1758.0;1383.0;1434.0;1210.0;1485.0;1438.0;1610.0;1473.0;1312.0;1014.0;1406.0
3959.0;2154.0;1548.0;1647.0;1822.0;1506.0;1734.0;1548.0;1827.0;1413.0;1470.0;1250.0;1566.0;1468.0;1645.0;1553.0;1444.0;1046.0;1475.0
4105.0;2215.0;1667.0;1690.0;2060.0;1526.0;1777.0;1581.0;1890.0;1487.0;1583.0;1286.0;1617.0;1524.0;1693.0;1621.0;1464.0;1076.0;1532.0
4459.0;2288.0;1721.0;1824.0;2141.0;1689.0;2042.0;1621.0;1973.0;1507.0;1617.0;1328.0;1669.0;1555.0;1725.0;1694.0;1681.0;1133.0;1640.0
4510.0;2468.0;1840.0;1961.0;2277.0;1765.0;2072.0;1642.0;2018.0;1549.0;1709.0;1363.0;1762.0;1647.0;1821.0;1760.0;1722.0;1224.0;1715.0
4764.0;2514.0;1945.0;1990.0;2300.0;1952.0;2102.0;1872.0;2052.0;1586.0;1751.0;1384.0;1843.0;1729.0;1947.0;1898.0;1821.0;1313.0;1744.0
5038.0;2638.0;1991.0;2059.0;2360.0;2046.0;2159.0;1922.0;2074.0;1616.0;1787.0;1474.0;1868.0;1858.0;2021.0;2065.0;1849.0;1577.0;1892.0
