MU;Nb_Spikes;Fr_Hz;CoV_%;Correlation_CCA
1;608;28,7442;29,4916;0,7402
2;772;33,8436;29,8103;0,7226
3;851;38,0161;29,9583;0,7137
4;870;39,1474;29,7318;0,7088
5;782;32,8495;29,6398;0,705
6;870;36,6748;29,6644;0,7018
7;762;33,6056;28,6509;0,6954
8;762;33,2995;29,5882;0,6952
9;837;38,4446;29,8461;0,692
10;814;34,9207;29,8448;0,6715
11;885;39,6154;29,989;0,6666
12;852;37,1498;29,818;0,663
13;861;39,1266;29,7091;0,662
14;855;36,879;29,5107;0,6597
15;757;34,4031;29,9609;0,6568
16;834;34,8299;29,4264;0,6529
17;800;35,8171;29,6752;0,6505
18;853;37,5382;29,9017;0,6455
19;836;38,6306;29,7004;0,6379
