UM_ID;Correlation_CCA
1;1,0
2;1,0
3;0,999
4;0,999
5;0,999
6;0,999
7;0,999
8;0,999
9;0,999
10;0,999
11;0,999
12;0,999
13;0,999
14;0,999
15;0,999
16;0,999
17;0,999
18;0,999
19;0,999
20;0,999
21;0,999
22;0,999
23;0,999
24;0,999
25;0,999
26;0,999
27;0,999
28;0,999
29;0,999
30;0,999
31;0,999
32;0,999
33;0,999
34;0,999
35;0,999
36;0,999
37;0,999
38;0,999
39;0,999
40;0,998
41;0,998
42;0,998
43;0,998
44;0,998
45;0,991
46;0,987
47;0,976
48;0,972
49;0,968
50;0,964
51;0,962
52;0,961
53;0,958
54;0,955
55;0,954
56;0,947
57;0,942
58;0,939
59;0,934
60;0,931
61;0,921
62;0,915
63;0,907
