CCA_MU_1;CCA_MU_2;CCA_MU_3;CCA_MU_4;CCA_MU_5;CCA_MU_6;CCA_MU_7;CCA_MU_8;CCA_MU_9;CCA_MU_10;CCA_MU_11;CCA_MU_12;CCA_MU_13;CCA_MU_14;CCA_MU_15;CCA_MU_16;CCA_MU_17;CCA_MU_18;CCA_MU_19
763.0;155.0;767.0;611.0;779.0;627.0;887.0;1034.0;627.0;141.0;516.0;250.0;715.0;175.0;250.0;170.0;250.0;7.0;1.0
895.0;1021.0;899.0;757.0;911.0;780.0;1016.0;2433.0;1481.0;297.0;882.0;784.0;985.0;331.0;522.0;347.0;365.0;96.0;134.0
2448.0;1343.0;1114.0;889.0;1489.0;2325.0;1331.0;3035.0;2336.0;1329.0;1770.0;1618.0;1354.0;482.0;1802.0;786.0;879.0;169.0;165.0
4275.0;1496.0;1241.0;1486.0;3421.0;3569.0;1499.0;3123.0;4884.0;1481.0;2333.0;2225.0;1910.0;639.0;2962.0;918.0;1013.0;250.0;251.0
6057.0;1769.0;2452.0;4269.0;4291.0;4134.0;2311.0;3708.0;6540.0;1617.0;2678.0;2330.0;2159.0;786.0;3999.0;1134.0;1484.0;289.0;328.0
6203.0;1896.0;2670.0;4404.0;4401.0;6071.0;2674.0;4294.0;6729.0;2027.0;2816.0;2674.0;2340.0;918.0;4528.0;1260.0;1505.0;347.0;780.0
7699.0;2317.0;2769.0;5208.0;5212.0;6508.0;3565.0;4761.0;7952.0;2303.0;2943.0;2783.0;2429.0;1221.0;4853.0;1359.0;1618.0;605.0;884.0
7802.0;2548.0;3291.0;6050.0;7459.0;9083.0;3705.0;6699.0;8024.0;2433.0;3027.0;3845.0;2516.0;1515.0;5348.0;1611.0;1676.0;771.0;911.0
9077.0;2686.0;3831.0;6196.0;7602.0;9771.0;4409.0;7127.0;9030.0;2672.0;3274.0;3918.0;2698.0;1651.0;5788.0;1834.0;1729.0;879.0;1046.0
;2943.0;4397.0;7693.0;7716.0;10042.0;4771.0;7612.0;9871.0;2703.0;3651.0;4296.0;3123.0;1789.0;6722.0;1928.0;1927.0;949.0;1208.0
;3104.0;4873.0;9069.0;9206.0;;5220.0;8561.0;;3980.0;4298.0;4509.0;3585.0;2061.0;7197.0;2055.0;2060.0;1045.0;1258.0
;3561.0;6062.0;9202.0;;;5572.0;8854.0;;4147.0;4759.0;4629.0;5531.0;2195.0;7684.0;2237.0;2303.0;1144.0;1344.0
;4128.0;6208.0;9877.0;;;6505.0;9096.0;;4392.0;5117.0;6211.0;5616.0;2440.0;7936.0;2346.0;2339.0;1230.0;1481.0
;4279.0;7113.0;;;;6729.0;9806.0;;4753.0;5326.0;6722.0;5813.0;2706.0;8012.0;2471.0;2401.0;1317.0;1513.0
;4767.0;7365.0;;;;7017.0;;;4785.0;5437.0;9086.0;5896.0;2816.0;;2579.0;2674.0;1353.0;1600.0
;5216.0;7807.0;;;;7596.0;;;4926.0;6518.0;10040.0;6171.0;2963.0;;3038.0;2793.0;1425.0;1676.0
;5444.0;8263.0;;;;8929.0;;;4958.0;6608.0;;6734.0;3124.0;;3298.0;2976.0;1464.0;1828.0
;5824.0;8481.0;;;;9215.0;;;5062.0;6716.0;;8030.0;3268.0;;3456.0;3160.0;1505.0;1898.0
;6594.0;8727.0;;;;10021.0;;;5094.0;6842.0;;8425.0;3427.0;;3672.0;3418.0;1589.0;2027.0
;7030.0;8873.0;;;;;;;5202.0;7351.0;;8597.0;3581.0;;3706.0;3594.0;1709.0;2055.0
;7704.0;9082.0;;;;;;;5462.0;8126.0;;8693.0;3732.0;;3850.0;3792.0;1784.0;2162.0
;7830.0;9891.0;;;;;;;5564.0;8247.0;;9035.0;3877.0;;3918.0;4392.0;1872.0;2241.0
;8298.0;;;;;;;;5810.0;8916.0;;9782.0;4014.0;;4057.0;4486.0;1982.0;2464.0
;8926.0;;;;;;;;6044.0;9782.0;;;4148.0;;4288.0;4674.0;2055.0;2684.0
;9369.0;;;;;;;;6190.0;;;;4298.0;;4636.0;4725.0;2123.0;2814.0
;9489.0;;;;;;;;6516.0;;;;4425.0;;4761.0;4761.0;2480.0;2836.0
;9649.0;;;;;;;;6579.0;;;;4540.0;;4893.0;4889.0;2573.0;3035.0
;10182.0;;;;;;;;6721.0;;;;4678.0;;5311.0;5221.0;2757.0;3272.0
;;;;;;;;;6891.0;;;;4787.0;;5338.0;5337.0;3148.0;3391.0
;;;;;;;;;7016.0;;;;4960.0;;5409.0;5499.0;3272.0;3415.0
;;;;;;;;;7094.0;;;;5096.0;;5499.0;5603.0;3300.0;3548.0
;;;;;;;;;7161.0;;;;5236.0;;5537.0;5627.0;3391.0;3578.0
;;;;;;;;;7321.0;;;;5345.0;;5593.0;5897.0;3481.0;3708.0
;;;;;;;;;7816.0;;;;5464.0;;5860.0;5974.0;3578.0;4214.0
;;;;;;;;;7920.0;;;;5598.0;;6008.0;6081.0;3644.0;4246.0
;;;;;;;;;8575.0;;;;5714.0;;6082.0;6236.0;3812.0;4423.0
;;;;;;;;;8642.0;;;;5844.0;;6227.0;6432.0;3986.0;4628.0
;;;;;;;;;8673.0;;;;5954.0;;6312.0;6613.0;4018.0;4852.0
;;;;;;;;;8943.0;;;;6078.0;;7045.0;6666.0;4147.0;4877.0
;;;;;;;;;9063.0;;;;6224.0;;7094.0;6918.0;4296.0;4953.0
;;;;;;;;;9198.0;;;;6367.0;;7133.0;6965.0;4392.0;5088.0
;;;;;;;;;9355.0;;;;6520.0;;7254.0;7163.0;4423.0;5311.0
;;;;;;;;;9387.0;;;;6754.0;;7385.0;7612.0;4601.0;5338.0
;;;;;;;;;9475.0;;;;6893.0;;7488.0;7994.0;4700.0;5499.0
;;;;;;;;;9872.0;;;;7049.0;;7717.0;8049.0;4774.0;5594.0
;;;;;;;;;10168.0;;;;7195.0;;7823.0;8110.0;4849.0;5969.0
;;;;;;;;;;;;;7355.0;;7932.0;8283.0;4953.0;6002.0
;;;;;;;;;;;;;7466.0;;8283.0;8459.0;5239.0;6078.0
;;;;;;;;;;;;;7628.0;;8395.0;8530.0;5337.0;6098.0
