CCA_MU_1;CCA_MU_2
589.0;176.0
1405.0;199.0
1688.0;310.0
2344.0;391.0
3156.0;419.0
3642.0;515.0
5126.0;678.0
5795.0;780.0
8407.0;831.0
9390.0;991.0
;1090.0
;1124.0
;1241.0
;1364.0
;1517.0
;1605.0
;1938.0
;2025.0
;2157.0
;2247.0
;2282.0
;2403.0
;2557.0
;2701.0
;2726.0
;2778.0
;2879.0
;2908.0
;3009.0
;3178.0
;3521.0
;3612.0
;3647.0
;3727.0
;3836.0
;3905.0
;4005.0
;4084.0
;4239.0
;4266.0
;4332.0
;4415.0
;4507.0
;4528.0
;4817.0
;4931.0
;5055.0
;5355.0
;5501.0
;5578.0
;5661.0
;5740.0
;5798.0
;5864.0
;5943.0
;6089.0
;6189.0
;6312.0
;6352.0
;6616.0
;6934.0
;7000.0
;7036.0
;7104.0
;7197.0
;7307.0
;7469.0
;7566.0
;7999.0
;8040.0
;8313.0
;8409.0
;8463.0
;8497.0
;8553.0
;8578.0
;8759.0
;8855.0
;8947.0
;8984.0
;9109.0
;9212.0
;9234.0
;9341.0
;9632.0
;10039.0
;10160.0
