CCA_MU_1;CCA_MU_2;CCA_MU_3;CCA_MU_4;CCA_MU_5;CCA_MU_6;CCA_MU_7;CCA_MU_8;CCA_MU_9;CCA_MU_10;CCA_MU_11;CCA_MU_12
135.0;2058.0;1499.0;1495.0;372.0;706.0;785.0;713.0;163.0;116.0;440.0;2.0
1757.0;2559.0;1592.0;1617.0;789.0;1471.0;1603.0;1152.0;408.0;248.0;635.0;116.0
2702.0;3915.0;2070.0;2166.0;2171.0;2568.0;2268.0;1471.0;533.0;408.0;711.0;236.0
3767.0;7293.0;2570.0;2320.0;2300.0;2863.0;2289.0;1503.0;716.0;787.0;935.0;369.0
3907.0;7619.0;2976.0;2572.0;2893.0;2982.0;2988.0;2433.0;814.0;977.0;1069.0;408.0
5140.0;8837.0;7314.0;2980.0;3681.0;4056.0;3436.0;2830.0;1103.0;1048.0;1228.0;475.0
7075.0;9779.0;7639.0;3583.0;3922.0;5867.0;3780.0;3229.0;1243.0;1186.0;1508.0;542.0
7167.0;;8388.0;6633.0;4044.0;6483.0;4147.0;3630.0;1605.0;1471.0;1600.0;566.0
8830.0;;8705.0;7308.0;4731.0;6943.0;4580.0;3796.0;2077.0;1738.0;2190.0;804.0
9061.0;;;7739.0;4865.0;7879.0;4774.0;3927.0;2268.0;1927.0;2300.0;945.0
9771.0;;;8169.0;5588.0;8031.0;5151.0;4047.0;2434.0;2043.0;2549.0;969.0
;;;8842.0;5711.0;8146.0;5745.0;5071.0;2565.0;2077.0;2576.0;1106.0
;;;9464.0;6299.0;;6088.0;5169.0;2991.0;2189.0;2718.0;1151.0
;;;10052.0;6636.0;;6784.0;5290.0;3150.0;2327.0;2830.0;1471.0
;;;;7090.0;;8823.0;7464.0;3262.0;2923.0;2867.0;1602.0
;;;;7408.0;;9754.0;7734.0;3384.0;3002.0;2899.0;1753.0
;;;;7742.0;;9869.0;8116.0;3486.0;3144.0;2994.0;1900.0
;;;;8845.0;;;8620.0;4080.0;3220.0;3230.0;2043.0
;;;;8949.0;;;9047.0;4258.0;3257.0;3483.0;2268.0
;;;;9553.0;;;9221.0;4540.0;3367.0;3645.0;2561.0
;;;;9788.0;;;9664.0;4631.0;3449.0;3794.0;2957.0
;;;;;;;;4773.0;3590.0;3896.0;3262.0
;;;;;;;;4913.0;3657.0;3936.0;3435.0
;;;;;;;;5056.0;3787.0;4050.0;3669.0
;;;;;;;;5324.0;3928.0;4459.0;3936.0
;;;;;;;;5457.0;4185.0;4549.0;4739.0
;;;;;;;;5584.0;4252.0;4776.0;5022.0
;;;;;;;;5733.0;4631.0;5424.0;5158.0
;;;;;;;;5989.0;4944.0;5584.0;5290.0
;;;;;;;;6106.0;4982.0;5780.0;5404.0
;;;;;;;;6194.0;5079.0;5910.0;5581.0
;;;;;;;;6352.0;5158.0;5996.0;6160.0
;;;;;;;;6800.0;5283.0;6112.0;6299.0
;;;;;;;;7084.0;5314.0;6184.0;6403.0
;;;;;;;;7196.0;5404.0;6409.0;6627.0
;;;;;;;;7498.0;5440.0;7301.0;6873.0
;;;;;;;;7626.0;5483.0;7639.0;6941.0
;;;;;;;;7646.0;5611.0;7762.0;7166.0
;;;;;;;;7735.0;5713.0;8037.0;7488.0
;;;;;;;;8403.0;6067.0;8116.0;7641.0
;;;;;;;;8719.0;6181.0;8406.0;7735.0
;;;;;;;;8857.0;6299.0;8685.0;8062.0
;;;;;;;;9117.0;6413.0;8987.0;8148.0
;;;;;;;;9362.0;6518.0;9119.0;8261.0
;;;;;;;;9631.0;6935.0;9253.0;8554.0
;;;;;;;;9946.0;7414.0;9316.0;8650.0
;;;;;;;;10081.0;7844.0;9765.0;8699.0
;;;;;;;;10197.0;8116.0;9791.0;8725.0
;;;;;;;;;8176.0;9862.0;9111.0
;;;;;;;;;8419.0;;9221.0
;;;;;;;;;8510.0;;9321.0
;;;;;;;;;8548.0;;9367.0
;;;;;;;;;8653.0;;9478.0
;;;;;;;;;8955.0;;9509.0
;;;;;;;;;9081.0;;9596.0
;;;;;;;;;9582.0;;9944.0
;;;;;;;;;9665.0;;10038.0
;;;;;;;;;10002.0;;
;;;;;;;;;10142.0;;
