CCA_MU_1;CCA_MU_2
1.0;140.0
101.0;206.0
129.0;297.0
212.0;457.0
296.0;772.0
509.0;847.0
669.0;1071.0
772.0;1108.0
856.0;1137.0
949.0;1233.0
1108.0;1347.0
1241.0;1568.0
1270.0;1609.0
1520.0;1687.0
1568.0;1710.0
1614.0;1777.0
1703.0;1882.0
1874.0;1964.0
1899.0;2205.0
2102.0;2290.0
2198.0;2521.0
2319.0;2769.0
2350.0;2863.0
2446.0;2964.0
2521.0;2998.0
2769.0;3095.0
2861.0;3280.0
2964.0;3399.0
3074.0;3468.0
3301.0;3595.0
3399.0;3705.0
3500.0;3930.0
3596.0;4222.0
3705.0;4298.0
3818.0;4324.0
3921.0;4397.0
4013.0;4422.0
4213.0;4516.0
4243.0;4604.0
4298.0;4738.0
4434.0;5021.0
4604.0;5130.0
4715.0;5243.0
4743.0;5328.0
5014.0;5411.0
5141.0;5695.0
5422.0;6104.0
5915.0;6143.0
6388.0;6251.0
6694.0;6319.0
6935.0;6386.0
7027.0;6549.0
7047.0;6580.0
7221.0;6694.0
7397.0;6790.0
7426.0;7173.0
7505.0;7235.0
7593.0;7505.0
7613.0;7600.0
7710.0;7690.0
7828.0;7827.0
7904.0;7925.0
8014.0;8045.0
8224.0;8131.0
8425.0;8228.0
8495.0;8323.0
8856.0;8425.0
9025.0;8531.0
9048.0;8813.0
9449.0;8834.0
9529.0;8914.0
9622.0;9019.0
9732.0;9132.0
9824.0;9322.0
9996.0;9450.0
10025.0;9521.0
10234.0;9619.0
;9829.0
;9901.0
;9996.0
;10055.0
