MU_1;MU_2;MU_3;MU_4;MU_5;MU_6;MU_7;MU_8;MU_9
-0.0014470273071617726;-0.00408354928917363;-0.00034559233539545575;0.0037025922637587434;-0.0006107249954695468;-0.005090955640451803;-0.0031669297411572113;-0.0016664982565436372;-0.0005398823991052125
-0.0014233586221417793;-0.004054341845293197;-0.0003458876865868602;0.0037968163749771255;-0.000617853932560825;-0.005200681907389888;-0.00324188024315562;-0.0017095400135430797;-0.0005330224056363103
-0.0013904841460852632;-0.004000668698106559;-0.00034206676274003365;0.00386666615076572;-0.0006248585107855888;-0.005277224647314994;-0.0032939045107839506;-0.0017416278201854425;-0.0005288955130610239
-0.0013504782494052822;-0.003927299195400696;-0.0003343775232306663;0.003913893446183561;-0.0006322863610476411;-0.005323310626863728;-0.003324361824808852;-0.0017634662335143767;-0.0005283266123223739
-0.0013039656937234164;-0.0038363947580881564;-0.00032226215284637214;0.003940285734443603;-0.0006397911721857632;-0.00534044329837716;-0.0033348708431409336;-0.0017756273653214908;-0.0005313010395926656
-0.0012515255810116995;-0.0037299674392373095;-0.0003052698872107612;0.0039475578878039414;-0.0006469251678341445;-0.005330063389414445;-0.003327056353437666;-0.0017786733030062298;-0.0005376345670886437
-0.0011942213354796168;-0.0036108053144830866;-0.0002834031832234348;0.003937322553622891;-0.0006534479330961106;-0.005294008030393697;-0.0033024593312524636;-0.00177320791418094;-0.0005472310781402445
-0.0011331754467199927;-0.0034817098570542075;-0.0002568537993946805;0.003911108928964554;-0.0006591076576809816;-0.005234166386727941;-0.003262594032013589;-0.0017598376838442395;-0.0005598909349696298
-0.0010692947533758857;-0.003344997598387155;-0.0002258340237658497;0.0038703634936993435;-0.0006635074168148314;-0.005152249765531243;-0.003208971716570084;-0.001739142369532918;-0.0005751944507642049
-0.0010034260658188293;-0.0032027653751932807;-0.00019067764094639415;0.0038164314364754225;-0.0006662105391787807;-0.00504992337045461;-0.0031430586481771276;-0.0017116866603112543;-0.000592592177563244
-0.000936476575976589;-0.0030570978058895013;-0.00015191341955393903;0.00375054773208353;-0.000666826503141037;-0.004928913752124445;-0.0030662454125383177;-0.0016780307274502028;-0.0006114807344550961
-0.0008693326696876948;-0.0029099210485033123;-0.00011020679634836734;0.0036738407957713744;-0.000664984975308133;-0.004790946669638214;-0.0029798489717062096;-0.0016387218930310466;-0.0006311851612343606
-0.0008027826952972177;-0.002762865497860808;-6.630124315797772e-05;0.003587335498287695;-0.000660311534945777;-0.004637685069086105;-0.002885113394628444;-0.0015942858537818679;-0.0006509448890007909
-0.0007375357148268163;-0.00261730098114246;-2.1017444191844953e-05;0.0034919532535211397;-0.0006524555313368156;-0.004470746662818828;-0.0027831972250681077;-0.0015452270677914636;-0.0006699463175440961
-0.000674246366919389;-0.002474385954712086;2.4746891506518124e-05;0.003388515111499983;-0.0006411198176004539;-0.004291726962120867;-0.002675162861294334;-0.00149203034607136;-0.0006873587907469149
-0.0006134970004433633;-0.0023350438655442016;7.004699167094079e-05;0.0032777491527538937;-0.0006260649703026553;-0.004102185644664286;-0.002561974783618778;-0.0014351586486814943;-0.0007023503141188659
-0.0005557762040506149;-0.0021999354343012487;0.00011392526106867986;0.00316029925552624;-0.0006071093650983497;-0.003903628294054281;-0.0024444999913458554;-0.0013750505097592563;-0.0007141010361273985
-0.0005014794162275342;-0.0020694721859188287;0.00015543309022310109;0.0030367341455086387;-0.0005841390319050707;-0.0036975054539935535;-0.0023235070629175967;-0.0013121196794269247;-0.0007218260968577093
-0.0004509151068849302;-0.0019438418672703362;0.00019365028731655937;0.0029075576911117475;-0.0005571178977090563;-0.0034852154921679976;-0.0021996667149931817;-0.0012467555557476176;-0.0007247994743402883
-0.0004043034680733849;-0.0018230222518835356;0.00022770983085787573;0.0027732206403146904;-0.0005260910199100452;-0.003268100142307002;-0.002073555676222005;-0.0011793230962558225;-0.0007223721553952245
-0.0003617745083002683;-0.0017067950821543572;0.0002568229379866725;0.0026341329492633363;-0.0004911845354670386;-0.0030474383661549605;-0.0019456625329031944;-0.0011101627796028673;-0.0007139874646046176
-0.000323372097153108;-0.0015947713413936775;0.00028029972794625093;0.0024906761200604115;-0.00045260591637688927;-0.002824444170107716;-0.0018163944365429787;-0.0010395912495628538;-0.0006991962657689699
-0.0002890610684275792;-0.0014864223442278151;0.0002975667771187143;0.0023432154604627504;-0.00041064296247287545;-0.0026002661368844547;-0.0016860850089053248;-0.0009679023872415215;-0.0006776703425092417
-0.0002587339713812832;-0.0013811101656064373;0.00030818318733347985;0.0021921120841310966;-0.00036565974996484647;-0.0023759859035099137;-0.0015550037211293406;-0.0008953684618712637;-0.000649212100101703
-0.00023221839971805173;-0.001278118597555278;0.00031185406490414643;0.0020377342406296337;-0.0003180902264872881;-0.002152616464711681;-0.001423366300978709;-0.0008222414127895592;-0.0006137608692596168
-0.00020928631216188587;-0.0011766867078690753;0.000308440064498672;0.0018804676127528138;-0.0002684304729540021;-0.0019311016611871146;-0.0012913456692236688;-0.0007487543807348424;-0.0005713964050405293
-0.00018966471355072277;-0.0010760434823167107;0.00029796301530306095;0.0017207243568727291;-0.0002172295776096592;-0.0017123165228468218;-0.00115908321752085;-0.0006751234179603289;-0.0005223392919050261
-0.0001730466674717768;-0.0009754413496132171;0.0002806079641776005;0.001558950687021869;-0.00016507889981742197;-0.0014970677894799778;-0.0010267002692950116;-0.000601549259899993;-0.0004669478669137592
-0.00015910251725668396;-0.0008741880284483444;0.0002567214733282136;0.0013956327902502142;-0.00011260004709796065;-0.001286094691395828;-0.0008943094104903307;-0.0005282191232817194;-0.00040571178685546713
-0.00014749141978539977;-0.0007716765898352804;0.00022680595422815898;0.0012313009036669785;-6.0432049064849385e-05;-0.0010800702773697208;-0.0007620253537300885;-0.00045530852191523024;-0.0003392425542048972
-0.00013787287448702734;-0.0006674129337872813;0.00019151017416804125;0.0010665314461115784;-9.218002806425308e-06;-0.0008796032240019784;-0.0006299750859223071;-0.00038298305666297785;-0.0002682611947194642
-0.00012991779253898128;-0.0005610396932738518;0.00015161624527536402;0.0009019471437326775;4.04085970311461e-05;-0.0006852399315300317;-0.0004983070878805482;-0.00031140012403205663;-0.00019358328428045754
-0.00012331885067184682;-0.0004523560021085936;0.0001080233768651333;0.0007382151445074994;8.783751631754457e-05;-0.0004974668655417623;-0.0003671993921255958;-0.00024071050265219612;-0.00011610167131342894
-0.00011779997023379641;-0.0003413328059386638;6.172870756745094e-05;0.0005760431767948185;0.00013249505521490047;-0.0003167131726967698;-0.00023686625419596941;-0.00017105978607319654;-3.676733068128313e-05
-0.00011312469216580095;-0.00022812332610036695;1.380564831791521e-05;0.0004161738260475933;0.00017385662281465964;-0.00014335351914631075;-0.00010756328941057903;-0.0001025896364050926;4.343120187350355e-05
-0.00010910319562775936;-0.00011306830291512847;-3.461976042987004e-05;0.0002593770231030004;0.0002114583380475321;2.228894983314816e-05;2.0409005790476663e-05;-3.5438841566303964e-05;0.00012348934383553416
-0.00010559779379412432;3.30410669915428e-06;-8.239393037835531e-05;0.000106440951825371;0.00024490737374026334;0.0001799395828901137;0.00014670345511533174;3.025585126153198e-05;0.00020240842736561062
-0.00010252681788382554;0.00012028367432413416;-0.0001283616433221129;-4.183830379072321e-05;0.0002738907680308016;0.00032936913382391195;0.0002709262548725686;9.435916340863559e-05;0.00027921759748312066
-9.986678753123594e-05;0.0002369886094172199;-0.00017139220091648026;-0.00018466816094492734;0.00029818249101900527;0.00047039066303561426;0.00039263884077939126;0.00015673696886041267;0.00035299512062000437
-9.765274870252677e-05;0.0003523812001932174;-0.0002104052598942747;-0.00032127192214565496;0.0003176486214338;0.0006028565551042478;0.0005113613416639824;0.00021725618049071345;0.0004228885612517667
-9.597678118261426e-05;0.00046528817630770325;-0.0002443957596141071;-0.00045090177253836127;0.00033225048711491587;0.0007266557032690801;0.0006265775860930407;0.0002757848506375898;0.00048813334817548104
-9.498483758803838e-05;0.0005744249044501292;-0.00027245720505437933;-0.0005728515910723322;0.0003420456164345054;0.0008417107501359071;0.000737741932510777;0.0003321925963981029;0.0005480693604202233
-9.48719790909488e-05;0.0006784229034072292;-0.00029380269633755616;-0.0006864693119150503;0.0003471864803069004;0.0009479753910470523;0.0008442877042912347;0.0003863513125319014;0.0006021551290832151
-9.587585578897923e-05;0.0007758609091835935;-0.00030778350976044865;-0.0007911695353616393;0.00034791717707422263;0.0010454320842560828;0.0009456361793116577;0.0004381358862694056;0.0006499791348675074
-9.82685750482708e-05;0.0008652987545700829;-0.0003139049425481547;-0.0008864460736316277;0.00034456810655494283;0.0011340902970310596;0.0010412059044237682;0.0004874248915442144;0.0006912678933450111
