1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37
270.0;158.0;129.0;150.0;282.0;126.0;185.0;285.0;135.0;117.0;110.0;234.0;122.0;148.0;171.0;141.0;131.0;158.0;120.0;235.0;113.0;174.0;121.0;130.0;129.0;137.0;130.0;112.0;174.0;125.0;215.0;262.0;90.0;98.0;90.0;180.0;143.0
403.0;297.0;167.0;386.0;417.0;185.0;281.0;318.0;288.0;158.0;163.0;299.0;241.0;269.0;301.0;192.0;156.0;283.0;155.0;368.0;136.0;304.0;143.0;219.0;299.0;291.0;257.0;299.0;258.0;207.0;278.0;294.0;125.0;134.0;177.0;318.0;234.0
498.0;376.0;304.0;409.0;517.0;321.0;419.0;380.0;369.0;179.0;238.0;358.0;277.0;395.0;431.0;296.0;413.0;306.0;259.0;488.0;159.0;425.0;280.0;302.0;377.0;468.0;356.0;539.0;406.0;291.0;307.0;410.0;274.0;199.0;295.0;411.0;304.0
635.0;695.0;376.0;507.0;649.0;420.0;518.0;423.0;420.0;236.0;314.0;401.0;373.0;521.0;767.0;372.0;462.0;417.0;295.0;601.0;294.0;455.0;390.0;432.0;509.0;491.0;376.0;723.0;570.0;406.0;476.0;634.0;307.0;263.0;381.0;516.0;411.0
718.0;831.0;504.0;610.0;736.0;608.0;634.0;631.0;499.0;285.0;416.0;488.0;408.0;640.0;847.0;477.0;546.0;457.0;379.0;708.0;318.0;516.0;603.0;510.0;600.0;545.0;570.0;818.0;639.0;429.0;516.0;818.0;372.0;299.0;435.0;626.0;433.0
860.0;860.0;620.0;726.0;767.0;633.0;737.0;720.0;609.0;428.0;492.0;540.0;494.0;747.0;973.0;533.0;596.0;718.0;403.0;827.0;419.0;674.0;720.0;556.0;717.0;632.0;719.0;916.0;713.0;642.0;650.0;916.0;617.0;516.0;528.0;735.0;543.0
964.0;951.0;723.0;864.0;873.0;1080.0;843.0;828.0;635.0;490.0;595.0;572.0;524.0;838.0;1378.0;873.0;682.0;760.0;492.0;860.0;571.0;708.0;809.0;744.0;809.0;821.0;827.0;948.0;810.0;714.0;739.0;1331.0;647.0;564.0;729.0;868.0;609.0
1106.0;1039.0;854.0;969.0;938.0;1386.0;868.0;942.0;726.0;544.0;820.0;602.0;568.0;874.0;1486.0;935.0;731.0;812.0;612.0;1084.0;734.0;738.0;850.0;773.0;834.0;842.0;849.0;1163.0;844.0;809.0;834.0;1369.0;725.0;731.0;818.0;972.0;712.0
1216.0;1205.0;958.0;1237.0;979.0;1478.0;921.0;1085.0;822.0;601.0;951.0;676.0;714.0;1111.0;1650.0;985.0;754.0;854.0;711.0;1198.0;851.0;810.0;1084.0;839.0;964.0;893.0;916.0;1198.0;894.0;841.0;933.0;1596.0;760.0;856.0;856.0;1087.0;763.0
1442.0;1231.0;1063.0;1355.0;1071.0;1632.0;947.0;1209.0;849.0;682.0;1116.0;753.0;744.0;1349.0;1999.0;1040.0;835.0;875.0;744.0;1316.0;882.0;845.0;1202.0;869.0;1093.0;956.0;953.0;1249.0;917.0;912.0;1055.0;1633.0;844.0;920.0;934.0;1248.0;829.0
1736.0;1362.0;1225.0;1462.0;1245.0;1692.0;973.0;1422.0;925.0;719.0;1152.0;812.0;841.0;1448.0;2113.0;1087.0;856.0;1084.0;812.0;1421.0;986.0;874.0;1361.0;959.0;1207.0;994.0;1212.0;1316.0;977.0;1171.0;1171.0;1680.0;952.0;957.0;969.0;1530.0;858.0
1845.0;1650.0;1369.0;1757.0;1377.0;1840.0;1080.0;1512.0;954.0;763.0;1224.0;875.0;946.0;1630.0;2222.0;1202.0;958.0;1226.0;836.0;1591.0;1071.0;916.0;1480.0;1079.0;1316.0;1210.0;1325.0;1477.0;1059.0;1202.0;1347.0;2001.0;1175.0;1207.0;1034.0;1690.0;971.0
2075.0;1815.0;1675.0;2062.0;1480.0;1978.0;1214.0;1534.0;982.0;827.0;1425.0;918.0;1080.0;1755.0;2381.0;1252.0;993.0;1246.0;875.0;1824.0;1143.0;945.0;1503.0;1211.0;1483.0;1260.0;1388.0;1499.0;1155.0;1343.0;1514.0;2438.0;1343.0;1351.0;1072.0;1837.0;1197.0
