1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39
328.0;193.0;200.0;178.0;211.0;164.0;126.0;355.0;127.0;178.0;204.0;174.0;188.0;188.0;314.0;178.0;139.0;136.0;173.0;148.0;318.0;139.0;132.0;183.0;146.0;164.0;133.0;441.0;135.0;148.0;189.0;190.0;169.0;231.0;172.0;137.0;144.0;206.0;183.0
450.0;281.0;287.0;315.0;352.0;273.0;181.0;648.0;170.0;326.0;295.0;287.0;548.0;323.0;550.0;321.0;169.0;339.0;436.0;177.0;440.0;181.0;235.0;338.0;185.0;298.0;158.0;917.0;277.0;281.0;293.0;305.0;256.0;320.0;414.0;168.0;165.0;344.0;328.0
620.0;348.0;342.0;572.0;496.0;471.0;318.0;771.0;234.0;437.0;320.0;324.0;664.0;817.0;651.0;445.0;200.0;445.0;683.0;213.0;496.0;261.0;273.0;359.0;330.0;325.0;261.0;1019.0;297.0;345.0;584.0;433.0;281.0;454.0;546.0;260.0;269.0;491.0;444.0
688.0;492.0;484.0;647.0;760.0;583.0;431.0;1296.0;311.0;503.0;438.0;439.0;764.0;873.0;776.0;727.0;328.0;525.0;810.0;297.0;522.0;288.0;466.0;472.0;520.0;350.0;530.0;1228.0;342.0;421.0;621.0;582.0;305.0;500.0;665.0;403.0;348.0;643.0;575.0
741.0;642.0;636.0;779.0;785.0;748.0;484.0;1850.0;344.0;585.0;555.0;547.0;877.0;1333.0;893.0;783.0;448.0;647.0;1320.0;337.0;582.0;354.0;545.0;521.0;605.0;455.0;1039.0;1270.0;523.0;442.0;825.0;821.0;344.0;829.0;746.0;508.0;410.0;792.0;819.0
788.0;769.0;656.0;883.0;887.0;930.0;522.0;1976.0;438.0;614.0;653.0;650.0;1179.0;1469.0;1300.0;884.0;509.0;723.0;1449.0;438.0;735.0;479.0;665.0;544.0;653.0;680.0;1431.0;1337.0;639.0;541.0;915.0;1104.0;660.0;914.0;780.0;625.0;531.0;876.0;955.0
845.0;870.0;778.0;940.0;1024.0;1051.0;578.0;2003.0;525.0;723.0;790.0;786.0;1219.0;1577.0;1321.0;918.0;683.0;762.0;1600.0;538.0;812.0;559.0;762.0;671.0;756.0;743.0;1471.0;1468.0;661.0;650.0;1234.0;1290.0;742.0;1010.0;848.0;646.0;639.0;1163.0;1132.0
982.0;1020.0;877.0;975.0;1292.0;1145.0;641.0;2142.0;680.0;779.0;923.0;934.0;1271.0;1701.0;1473.0;993.0;763.0;889.0;1690.0;582.0;895.0;639.0;871.0;882.0;873.0;775.0;1647.0;1489.0;766.0;679.0;1457.0;1405.0;845.0;1230.0;913.0;738.0;668.0;1284.0;1162.0
1249.0;1058.0;1014.0;1043.0;1467.0;1168.0;697.0;2365.0;783.0;963.0;1031.0;1064.0;1465.0;1813.0;1624.0;1165.0;784.0;1050.0;1803.0;656.0;928.0;672.0;1051.0;1013.0;896.0;885.0;1849.0;1691.0;887.0;855.0;1561.0;1450.0;935.0;1337.0;1191.0;761.0;912.0;1463.0;1183.0
1319.0;1167.0;1065.0;1288.0;1619.0;1223.0;756.0;2385.0;890.0;994.0;1085.0;1189.0;1602.0;1912.0;1692.0;1286.0;862.0;1275.0;1844.0;722.0;1095.0;696.0;1168.0;1186.0;991.0;969.0;1909.0;1813.0;927.0;908.0;1586.0;1475.0;985.0;1453.0;1574.0;841.0;1046.0;1614.0;1277.0
1426.0;1274.0;1235.0;1463.0;1734.0;1443.0;812.0;2879.0;968.0;1052.0;1176.0;1356.0;1842.0;2022.0;1743.0;1332.0;890.0;1338.0;2009.0;824.0;1328.0;751.0;1236.0;1458.0;1043.0;1065.0;2348.0;1972.0;960.0;1183.0;1652.0;1556.0;1035.0;1556.0;1776.0;894.0;1100.0;1733.0;1424.0
1578.0;1449.0;1278.0;1860.0;1863.0;1474.0;1013.0;3043.0;1020.0;1232.0;1197.0;1468.0;1867.0;2125.0;1804.0;1469.0;1038.0;1476.0;2112.0;893.0;1405.0;779.0;1374.0;1658.0;1299.0;1169.0;2372.0;2027.0;1046.0;1229.0;1687.0;1576.0;1058.0;1648.0;1891.0;942.0;1136.0;1856.0;1481.0
1804.0;1615.0;1439.0;1965.0;1998.0;1596.0;1039.0;3224.0;1128.0;1274.0;1279.0;1556.0;1892.0;2330.0;1903.0;1588.0;1167.0;1519.0;2202.0;1026.0;1463.0;829.0;1427.0;1696.0;1333.0;1227.0;2607.0;2465.0;1174.0;1271.0;1769.0;2001.0;1147.0;1683.0;2089.0;1046.0;1571.0;2005.0;1577.0
1838.0;1720.0;1712.0;2227.0;2138.0;1616.0;1165.0;3308.0;1238.0;1437.0;1678.0;1670.0;2067.0;2370.0;2010.0;1663.0;1275.0;1802.0;2249.0;1107.0;1575.0;885.0;1453.0;1724.0;1455.0;1339.0;2729.0;2534.0;1271.0;1462.0;1805.0;2075.0;1183.0;1766.0;2232.0;1282.0;1688.0;2256.0;1705.0
2008.0;1859.0;1853.0;2259.0;2263.0;1706.0;1220.0;3421.0;1296.0;1736.0;1791.0;1777.0;2117.0;2426.0;2145.0;1692.0;1316.0;1850.0;2270.0;1172.0;2017.0;947.0;1481.0;1820.0;1562.0;1558.0;2973.0;2649.0;1294.0;1518.0;1895.0;2344.0;1254.0;1799.0;2326.0;1333.0;1804.0;2374.0;1808.0
2081.0;1981.0;1975.0;2378.0;2381.0;1730.0;1273.0;3603.0;1330.0;1833.0;1855.0;1813.0;2189.0;2758.0;2510.0;1805.0;1467.0;1964.0;2320.0;1280.0;2076.0;1091.0;1640.0;2084.0;1614.0;1585.0;3074.0;2710.0;1422.0;1658.0;2024.0;2430.0;1275.0;1865.0;2352.0;1457.0;1853.0;2517.0;1917.0
2112.0;2135.0;1999.0;2477.0;2471.0;1818.0;1296.0;3798.0;1447.0;1927.0;1883.0;1876.0;2227.0;2886.0;2610.0;1850.0;1518.0;2014.0;2362.0;1737.0;2131.0;1179.0;1674.0;2128.0;1707.0;1650.0;3212.0;2839.0;1518.0;1771.0;2322.0;2513.0;1426.0;2225.0;2522.0;1482.0;1895.0;2646.0;1971.0
