MU;Nb_Spikes;Fr_Hz;CoV_%;Correlation_CCA
1;83;20,1392;28,7267;0,9989
2;82;16,056;20,184;0,9988
3;88;17,4662;22,0461;0,9987
4;62;17,7539;23,0176;0,998
5;72;15,0951;17,9881;0,997
6;89;19,4594;26,4988;0,9952
7;127;37,4451;19,915;0,9937
8;62;16,0202;25,7223;0,9879
9;130;28,1818;27,6506;0,982
10;96;23,1504;24,4666;0,9791
11;114;24,3765;25,0294;0,977
12;86;18,5822;18,715;0,9754
13;106;24,255;27,7774;0,9714
14;69;17,3014;19,6954;0,9703
15;81;18,2915;26,8532;0,9656
16;113;25,4354;28,0307;0,9607
17;128;30,5795;27,7967;0,9582
18;108;22,9914;29,108;0,9479
19;83;20,1139;25,3561;0,946
20;91;26,7899;29,8449;0,9281
21;78;20,8156;28,196;0,9052
22;135;34,5019;26,21;0,9014
23;117;26,8766;28,7067;0,8892
24;101;22,9203;27,2364;0,8884
25;115;24,1118;28,1726;0,8781
26;114;32,6809;28,9486;0,8651
27;73;19,8506;22,3674;0,8535
28;93;32,2409;29,748;0,8339
29;99;19,5651;22,1527;0,822
30;114;27,0378;29,3386;0,8102
31;86;21,2934;24,0853;0,782
32;75;19,2753;29,5555;0,7712
33;111;27,199;27,5942;0,7608
34;84;21,7447;20,5151;0,7576
35;96;21,551;28,816;0,7041
36;120;25,6615;29,7887;0,6656
37;105;28,2413;29,374;0,6447
38;67;15,2155;16,8634;0,5339
39;95;18,9305;26,2609;0,4793
