1;2;3
132.0;169.0;227.0
186.0;332.0;324.0
238.0;456.0;546.0
337.0;632.0;616.0
625.0;786.0;638.0
791.0;918.0;746.0
912.0;1019.0;814.0
1036.0;1055.0;950.0
1165.0;1090.0;1074.0
1250.0;1157.0;1162.0
1318.0;1291.0;1250.0
1600.0;1313.0;1386.0
1709.0;1351.0;1514.0
1830.0;1512.0;1602.0
1850.0;1559.0;1816.0
1953.0;1704.0;1951.0
1977.0;1834.0;2056.0
2067.0;1972.0;2183.0
2110.0;2087.0;2440.0
2234.0;2163.0;2503.0
2320.0;2240.0;2739.0
2356.0;2478.0;3036.0
2503.0;2631.0;3164.0
2810.0;2804.0;3293.0
2935.0;2951.0;3416.0
3213.0;3049.0;3449.0
3459.0;3340.0;3562.0
3603.0;3598.0;3649.0
3649.0;3685.0;3895.0
3898.0;3750.0;3956.0
4030.0;4183.0;4200.0
4189.0;4314.0;4317.0
4308.0;4407.0;4449.0
4425.0;4574.0;4549.0
4447.0;4716.0;4806.0
4565.0;4872.0;4907.0
4733.0;4896.0;4999.0
4889.0;4964.0;5132.0
4918.0;5134.0;5251.0
4980.0;5231.0;5369.0
5143.0;5381.0;5491.0
5247.0;5495.0;5757.0
5501.0;5517.0;5881.0
5618.0;5737.0;5997.0
5752.0;5861.0;6088.0
5880.0;6148.0;6195.0
5953.0;6296.0;6432.0
6088.0;6445.0;6553.0
6196.0;6477.0;6794.0
6312.0;6638.0;6881.0
6481.0;6660.0;7166.0
6643.0;6791.0;7273.0
6784.0;6886.0;7405.0
6890.0;6920.0;7517.0
6921.0;6956.0;7635.0
7015.0;7011.0;7832.0
7061.0;7097.0;7965.0
7178.0;7169.0;8319.0
7285.0;7288.0;8448.0
7453.0;7688.0;8563.0
7684.0;7965.0;8669.0
7837.0;8119.0;8751.0
7980.0;8270.0;8841.0
8101.0;8407.0;8938.0
8136.0;8527.0;9058.0
8251.0;8562.0;9124.0
8412.0;8642.0;9217.0
8544.0;8676.0;9336.0
8658.0;8806.0;9476.0
8821.0;9037.0;9849.0
8844.0;9095.0;9964.0
8942.0;9118.0;
9060.0;9276.0;
9137.0;9353.0;
9231.0;9420.0;
9292.0;9550.0;
9336.0;9573.0;
9437.0;9765.0;
9566.0;9890.0;
9662.0;10019.0;
9780.0;10159.0;
9907.0;10183.0;
9975.0;;
10035.0;;
10101.0;;
10153.0;;
10186.0;;
