CCA_MU_1;CCA_MU_2;CCA_MU_3;CCA_MU_4;CCA_MU_5;CCA_MU_6;CCA_MU_7;CCA_MU_8;CCA_MU_9;CCA_MU_10;CCA_MU_11;CCA_MU_12;CCA_MU_13;CCA_MU_14;CCA_MU_15;CCA_MU_16;CCA_MU_17;CCA_MU_18;CCA_MU_19;CCA_MU_20;CCA_MU_21
742.0;282.0;1487.0;272.0;1707.0;738.0;113.0;1655.0;268.0;1629.0;399.0;518.0;1430.0;169.0;152.0;428.0;898.0;111.0;4.0;609.0;9.0
1327.0;408.0;1815.0;425.0;2037.0;2385.0;1053.0;3155.0;1482.0;2605.0;427.0;2853.0;1635.0;305.0;280.0;1059.0;1181.0;238.0;75.0;740.0;193.0
1491.0;845.0;3791.0;585.0;3008.0;4326.0;3544.0;3784.0;1509.0;3793.0;864.0;3817.0;1943.0;431.0;387.0;1182.0;1225.0;480.0;128.0;1054.0;253.0
2591.0;936.0;4736.0;739.0;3785.0;4463.0;3779.0;4331.0;2312.0;4855.0;919.0;4717.0;2392.0;591.0;522.0;1383.0;1787.0;613.0;172.0;1181.0;431.0
3448.0;1313.0;6469.0;863.0;4491.0;7005.0;6797.0;4577.0;2765.0;5688.0;1181.0;5517.0;4047.0;870.0;655.0;1547.0;1942.0;724.0;264.0;1508.0;475.0
3685.0;1496.0;7116.0;954.0;5976.0;8261.0;7006.0;5015.0;3011.0;6827.0;1974.0;5592.0;5691.0;960.0;766.0;2281.0;2678.0;856.0;362.0;1549.0;509.0
3931.0;1955.0;9333.0;1025.0;6700.0;8532.0;7144.0;7554.0;3554.0;7142.0;2242.0;5868.0;5962.0;1059.0;897.0;2703.0;2751.0;899.0;475.0;1631.0;721.0
4476.0;2655.0;;1679.0;;;7334.0;7977.0;4494.0;7881.0;3793.0;9056.0;6490.0;1222.0;1032.0;2930.0;2853.0;990.0;574.0;1737.0;867.0
4841.0;3926.0;;1822.0;;;8532.0;9056.0;5178.0;9479.0;5155.0;9315.0;7137.0;1336.0;1114.0;3790.0;3018.0;1181.0;682.0;1823.0;953.0
5160.0;5669.0;;1972.0;;;9052.0;9340.0;5864.0;;6991.0;9820.0;7633.0;1519.0;1350.0;3897.0;3120.0;1226.0;704.0;1889.0;1043.0
6910.0;6304.0;;2109.0;;;9350.0;9453.0;7112.0;;8113.0;;7983.0;1684.0;1515.0;4016.0;3279.0;1265.0;778.0;1949.0;1146.0
7120.0;7125.0;;2517.0;;;9447.0;;7762.0;;8212.0;;8608.0;1978.0;1634.0;4075.0;3473.0;1309.0;939.0;1973.0;1181.0
7744.0;7438.0;;2888.0;;;9623.0;;8231.0;;8958.0;;9477.0;2114.0;1744.0;5132.0;3689.0;1473.0;1018.0;2196.0;1265.0
8352.0;7960.0;;3127.0;;;;;8370.0;;9336.0;;9622.0;2249.0;1835.0;5351.0;3900.0;1515.0;1043.0;2238.0;1734.0
;8359.0;;3302.0;;;;;9054.0;;;;;2393.0;2073.0;5693.0;4038.0;1593.0;1181.0;2276.0;1806.0
;9977.0;;3397.0;;;;;9182.0;;;;;2523.0;2199.0;5788.0;4568.0;1702.0;1230.0;2388.0;2052.0
;10114.0;;3425.0;;;;;9573.0;;;;;2678.0;2318.0;6083.0;5068.0;1794.0;1508.0;2676.0;2088.0
;;;3554.0;;;;;;;;;;2792.0;2454.0;6513.0;5154.0;1830.0;1689.0;2768.0;2189.0
;;;3714.0;;;;;;;;;;2893.0;2614.0;7012.0;5897.0;1906.0;1769.0;3035.0;2352.0
;;;4073.0;;;;;;;;;;3035.0;2771.0;7150.0;6595.0;2032.0;1854.0;3127.0;2386.0
;;;4470.0;;;;;;;;;;3160.0;3018.0;7253.0;6810.0;2157.0;1949.0;3282.0;2482.0
;;;4603.0;;;;;;;;;;3307.0;3134.0;7983.0;7421.0;2276.0;2016.0;3350.0;3109.0
;;;4743.0;;;;;;;;;;3431.0;3241.0;8731.0;7801.0;2413.0;2093.0;3578.0;3180.0
;;;5039.0;;;;;;;;;;3559.0;3355.0;9756.0;7981.0;2573.0;2205.0;3666.0;3297.0
;;;5932.0;;;;;;;;;;3719.0;3472.0;9872.0;8227.0;2730.0;2276.0;3803.0;3351.0
;;;6077.0;;;;;;;;;;3817.0;3585.0;;8376.0;2813.0;2356.0;3937.0;3467.0
;;;6475.0;;;;;;;;;;3940.0;3821.0;;8820.0;2975.0;2545.0;4333.0;3587.0
;;;6697.0;;;;;;;;;;4079.0;3954.0;;9580.0;3019.0;2640.0;4399.0;3691.0
;;;6725.0;;;;;;;;;;4212.0;4047.0;;9661.0;3092.0;2734.0;4493.0;3912.0
;;;7006.0;;;;;;;;;;4361.0;4157.0;;9820.0;3200.0;2824.0;4593.0;4084.0
;;;7456.0;;;;;;;;;;4476.0;4290.0;;;3313.0;2853.0;4631.0;4128.0
;;;7579.0;;;;;;;;;;4608.0;4499.0;;;3430.0;2944.0;4708.0;4152.0
;;;8120.0;;;;;;;;;;4880.0;4636.0;;;3543.0;2998.0;4758.0;4203.0
;;;8670.0;;;;;;;;;;5045.0;4756.0;;;3578.0;3120.0;4860.0;4238.0
;;;9339.0;;;;;;;;;;5195.0;4865.0;;;3667.0;3166.0;4988.0;4471.0
;;;9855.0;;;;;;;;;;5367.0;4953.0;;;3716.0;3368.0;5064.0;4629.0
;;;;;;;;;;;;;5554.0;5067.0;;;3779.0;3462.0;5355.0;4708.0
;;;;;;;;;;;;;5692.0;5183.0;;;3913.0;3551.0;5535.0;4793.0
;;;;;;;;;;;;;5807.0;5295.0;;;4115.0;3633.0;5627.0;5191.0
;;;;;;;;;;;;;5938.0;5416.0;;;4248.0;3695.0;5690.0;5295.0
;;;;;;;;;;;;;6082.0;5540.0;;;4360.0;3767.0;5900.0;5355.0
;;;;;;;;;;;;;6220.0;5634.0;;;4458.0;3883.0;6090.0;5550.0
;;;;;;;;;;;;;6327.0;5725.0;;;4715.0;4038.0;6267.0;5653.0
;;;;;;;;;;;;;6480.0;5870.0;;;4823.0;4203.0;6497.0;5685.0
;;;;;;;;;;;;;6594.0;6013.0;;;4911.0;4300.0;6687.0;5933.0
;;;;;;;;;;;;;6731.0;6131.0;;;4954.0;4320.0;6726.0;5985.0
;;;;;;;;;;;;;6850.0;6368.0;;;5025.0;4387.0;6841.0;6078.0
;;;;;;;;;;;;;7149.0;6603.0;;;5069.0;4435.0;7060.0;6327.0
