CCA_MU_1;CCA_MU_2;CCA_MU_3;CCA_MU_4;CCA_MU_5;CCA_MU_6;CCA_MU_7;CCA_MU_8;CCA_MU_9;CCA_MU_10;CCA_MU_11;CCA_MU_12;CCA_MU_13
200.0;1107.0;1017.0;1094.0;812.0;325.0;299.0;185.0;476.0;1354.0;216.0;156.0;3.0
321.0;1671.0;1410.0;2655.0;2284.0;1007.0;711.0;1391.0;594.0;1416.0;246.0;258.0;122.0
1270.0;2075.0;3381.0;3369.0;3243.0;1154.0;844.0;1658.0;928.0;1600.0;574.0;374.0;310.0
1521.0;2642.0;5076.0;4576.0;4420.0;2411.0;1129.0;1941.0;1024.0;2097.0;714.0;500.0;797.0
1755.0;2781.0;5295.0;8911.0;4720.0;3816.0;1292.0;3370.0;1165.0;2331.0;1002.0;544.0;1131.0
2401.0;4589.0;5622.0;;5189.0;4603.0;1456.0;3818.0;1290.0;2875.0;1354.0;671.0;1224.0
3806.0;5310.0;5924.0;;5316.0;4718.0;1601.0;3998.0;1541.0;3897.0;1733.0;804.0;1354.0
4593.0;5794.0;6420.0;;5936.0;4941.0;1694.0;4614.0;1658.0;3936.0;1819.0;1089.0;1686.0
4931.0;5920.0;7392.0;;6606.0;5320.0;1955.0;5169.0;1776.0;4038.0;1848.0;1416.0;1770.0
5181.0;6897.0;8176.0;;7782.0;5572.0;2097.0;5325.0;1893.0;4322.0;1909.0;1560.0;1821.0
5305.0;7388.0;9200.0;;8034.0;6412.0;2372.0;6408.0;2001.0;4614.0;2066.0;1771.0;1942.0
5924.0;7499.0;9233.0;;8165.0;7402.0;2532.0;7029.0;2104.0;5169.0;2250.0;1820.0;2343.0
6032.0;9183.0;;;8598.0;7656.0;2664.0;7285.0;2210.0;5200.0;2630.0;1914.0;2529.0
7392.0;;;;9309.0;8164.0;2804.0;9213.0;2548.0;5315.0;2737.0;1958.0;2660.0
7646.0;;;;;8479.0;2969.0;9932.0;2661.0;5430.0;2784.0;2056.0;2795.0
7794.0;;;;;8723.0;3083.0;;2780.0;5775.0;2903.0;2218.0;2878.0
8469.0;;;;;9081.0;3188.0;;2903.0;5943.0;3142.0;2331.0;2903.0
9544.0;;;;;9314.0;3467.0;;3149.0;6103.0;3447.0;2491.0;3094.0
;;;;;9450.0;3640.0;;3259.0;6265.0;3642.0;2623.0;3181.0
;;;;;9553.0;3763.0;;3388.0;6293.0;3942.0;2763.0;3508.0
;;;;;;3916.0;;3449.0;6503.0;4058.0;2784.0;3598.0
;;;;;;4055.0;;3698.0;7397.0;4476.0;2929.0;3642.0
;;;;;;4192.0;;3827.0;7530.0;4519.0;3086.0;3785.0
;;;;;;4453.0;;3985.0;7726.0;4572.0;3148.0;3897.0
;;;;;;4613.0;;4238.0;7806.0;4613.0;3179.0;3937.0
;;;;;;4737.0;;4437.0;8066.0;4665.0;3598.0;4090.0
;;;;;;4890.0;;4526.0;8278.0;4720.0;3722.0;4399.0
;;;;;;5047.0;;4610.0;9098.0;4759.0;3875.0;4434.0
;;;;;;5204.0;;4729.0;9659.0;4871.0;4014.0;4527.0
;;;;;;5325.0;;4854.0;9710.0;4945.0;4057.0;4572.0
;;;;;;5489.0;;4952.0;9747.0;4968.0;4195.0;4613.0
;;;;;;5651.0;;5200.0;;5060.0;4273.0;4690.0
;;;;;;5944.0;;5325.0;;5143.0;4412.0;4731.0
;;;;;;6107.0;;5449.0;;5406.0;4572.0;4892.0
;;;;;;6245.0;;5582.0;;5448.0;4696.0;5176.0
;;;;;;6378.0;;5705.0;;5662.0;4759.0;5201.0
;;;;;;6640.0;;5823.0;;5721.0;5007.0;5283.0
;;;;;;6771.0;;5945.0;;5818.0;5164.0;5508.0
;;;;;;6920.0;;6053.0;;5903.0;5200.0;5584.0
;;;;;;7069.0;;6186.0;;6103.0;5283.0;5756.0
;;;;;;7260.0;;6294.0;;6293.0;5448.0;5789.0
;;;;;;7412.0;;6427.0;;6384.0;5611.0;5818.0
;;;;;;7522.0;;6505.0;;6490.0;5636.0;5850.0
;;;;;;7645.0;;6622.0;;7079.0;5775.0;5903.0
;;;;;;7903.0;;6732.0;;7255.0;5817.0;5929.0
;;;;;;8066.0;;6868.0;;7371.0;6204.0;6103.0
;;;;;;8182.0;;6959.0;;7413.0;6337.0;6143.0
;;;;;;8346.0;;7064.0;;7457.0;6599.0;6250.0
;;;;;;8457.0;;7178.0;;7624.0;6731.0;6378.0
;;;;;;8632.0;;7285.0;;7778.0;6774.0;6531.0
;;;;;;8761.0;;7552.0;;7802.0;6879.0;6635.0
;;;;;;8947.0;;7659.0;;8133.0;6991.0;6917.0
;;;;;;9079.0;;7814.0;;8268.0;7028.0;7029.0
;;;;;;9205.0;;7913.0;;8324.0;7150.0;7063.0
;;;;;;9331.0;;8052.0;;8354.0;7219.0;7214.0
;;;;;;9484.0;;8214.0;;8571.0;7371.0;7409.0
;;;;;;9639.0;;8257.0;;8743.0;7481.0;7487.0
;;;;;;9777.0;;8366.0;;8820.0;7605.0;7530.0
;;;;;;9909.0;;8490.0;;8933.0;7747.0;7563.0
;;;;;;10055.0;;8614.0;;9006.0;7861.0;7818.0
;;;;;;10202.0;;8840.0;;9076.0;8026.0;7913.0
;;;;;;;;8976.0;;9171.0;8141.0;8062.0
;;;;;;;;9214.0;;9282.0;8304.0;8164.0
;;;;;;;;9462.0;;9419.0;8416.0;8214.0
;;;;;;;;9564.0;;9460.0;8450.0;9076.0
;;;;;;;;9719.0;;9539.0;8591.0;9450.0
;;;;;;;;9860.0;;9676.0;8720.0;9570.0
;;;;;;;;9987.0;;9811.0;8906.0;9846.0
;;;;;;;;10094.0;;9944.0;9038.0;9944.0
;;;;;;;;10213.0;;10191.0;9164.0;10051.0
;;;;;;;;;;;9291.0;10202.0
;;;;;;;;;;;9443.0;
;;;;;;;;;;;9599.0;
;;;;;;;;;;;10015.0;
;;;;;;;;;;;10161.0;
