CCA_MU_1;CCA_MU_2;CCA_MU_3;CCA_MU_4;CCA_MU_5;CCA_MU_6;CCA_MU_7;CCA_MU_8;CCA_MU_9;CCA_MU_10;CCA_MU_11;CCA_MU_12;CCA_MU_13;CCA_MU_14;CCA_MU_15
809.0;813.0;322.0;326.0;226.0;368.0;954.0;153.0;234.0;131.0;5.0;1.0;5.0;5.0;4.0
1649.0;1644.0;2360.0;453.0;338.0;544.0;1914.0;275.0;345.0;236.0;110.0;121.0;148.0;148.0;159.0
2463.0;4107.0;5359.0;566.0;466.0;1796.0;3418.0;409.0;473.0;276.0;232.0;234.0;234.0;276.0;236.0
3661.0;4998.0;5853.0;714.0;578.0;1910.0;4018.0;509.0;586.0;332.0;307.0;326.0;363.0;364.0;428.0
4111.0;5132.0;8725.0;1141.0;727.0;2127.0;4123.0;752.0;734.0;410.0;366.0;428.0;692.0;464.0;466.0
5137.0;5489.0;;1264.0;986.0;2657.0;4332.0;832.0;839.0;509.0;469.0;509.0;1118.0;551.0;509.0
5484.0;6533.0;;1405.0;1153.0;4532.0;5754.0;951.0;959.0;682.0;509.0;604.0;1241.0;642.0;552.0
5743.0;7708.0;;1513.0;1276.0;5210.0;6548.0;1351.0;994.0;772.0;709.0;703.0;1318.0;746.0;833.0
6537.0;7848.0;;1817.0;1417.0;6795.0;9325.0;1555.0;1161.0;924.0;923.0;833.0;1346.0;833.0;951.0
7704.0;8143.0;;1923.0;1525.0;8118.0;9429.0;1672.0;1281.0;954.0;959.0;881.0;1490.0;1281.0;1078.0
7844.0;;;2060.0;1654.0;8420.0;;1807.0;1425.0;1012.0;1046.0;960.0;1619.0;1344.0;1155.0
8149.0;;;2201.0;1829.0;9169.0;;2005.0;1533.0;1095.0;1152.0;1044.0;1794.0;1419.0;1190.0
9059.0;;;2365.0;1936.0;9433.0;;2134.0;1662.0;1139.0;1308.0;1119.0;1858.0;1526.0;1346.0
9314.0;;;2787.0;2073.0;;;2277.0;1837.0;1225.0;1411.0;1281.0;1901.0;1547.0;1419.0
;;;2994.0;2214.0;;;2341.0;1944.0;1308.0;1512.0;1382.0;2179.0;1615.0;1666.0
;;;3082.0;2376.0;;;2388.0;2000.0;1385.0;1629.0;1420.0;2454.0;1701.0;2086.0
;;;3855.0;2489.0;;;2486.0;2080.0;1496.0;1764.0;1547.0;2624.0;1798.0;2129.0
;;;3966.0;2659.0;;;2624.0;2219.0;1570.0;1882.0;1580.0;2765.0;1935.0;2341.0
;;;4252.0;2800.0;;;2660.0;2341.0;1666.0;1965.0;1759.0;2948.0;2000.0;2369.0
;;;4399.0;2906.0;;;2697.0;2384.0;2248.0;2091.0;1858.0;3059.0;2126.0;2624.0
;;;4716.0;3006.0;;;2971.0;2497.0;2376.0;2234.0;1962.0;3536.0;2341.0;2668.0
;;;4837.0;3094.0;;;3077.0;2624.0;2431.0;2345.0;2046.0;3652.0;2377.0;2692.0
;;;5002.0;3237.0;;;3307.0;2667.0;2537.0;2385.0;2115.0;3706.0;2495.0;2800.0
;;;5232.0;3390.0;;;3429.0;2800.0;2624.0;2443.0;2219.0;3833.0;2531.0;2912.0
;;;5365.0;3687.0;;;3557.0;2914.0;2864.0;2654.0;2305.0;3943.0;2624.0;3059.0
;;;5636.0;3868.0;;;3770.0;3014.0;2945.0;2800.0;2341.0;4109.0;3059.0;3178.0
;;;5857.0;3978.0;;;3893.0;3102.0;3066.0;2928.0;2403.0;4229.0;3156.0;3442.0
;;;6118.0;4117.0;;;4029.0;3245.0;3196.0;3035.0;2515.0;4419.0;3239.0;3924.0
;;;6261.0;4264.0;;;4134.0;3397.0;3290.0;3168.0;2585.0;4694.0;3289.0;4134.0
;;;6631.0;4412.0;;;4238.0;3530.0;3342.0;3268.0;2668.0;5105.0;3392.0;4269.0
;;;6760.0;4559.0;;;4447.0;3692.0;3385.0;3386.0;3027.0;5141.0;3740.0;4419.0
;;;6869.0;4729.0;;;4666.0;3875.0;3442.0;3519.0;3120.0;5246.0;3948.0;4696.0
;;;7017.0;4850.0;;;4785.0;3987.0;3482.0;3641.0;3219.0;5343.0;4108.0;4731.0
;;;7118.0;5015.0;;;4919.0;4027.0;3628.0;3727.0;3299.0;5589.0;4419.0;5012.0
;;;7272.0;5140.0;;;5160.0;4125.0;4009.0;3850.0;3395.0;5621.0;4457.0;5244.0
;;;7546.0;5245.0;;;5276.0;4272.0;4096.0;3987.0;3499.0;5737.0;4696.0;5379.0
;;;8326.0;5378.0;;;5506.0;4419.0;4269.0;4091.0;3706.0;5977.0;4730.0;5613.0
;;;8583.0;5649.0;;;5626.0;4567.0;4549.0;4195.0;3740.0;6238.0;4852.0;5746.0
;;;8729.0;5772.0;;;5881.0;4734.0;4617.0;4301.0;3912.0;6358.0;5048.0;5775.0
;;;8880.0;5869.0;;;5973.0;4857.0;4733.0;4341.0;3996.0;6394.0;5141.0;5881.0
;;;9154.0;6130.0;;;6201.0;5020.0;4858.0;4405.0;4030.0;6496.0;5269.0;5974.0
;;;9455.0;6273.0;;;6335.0;5252.0;5002.0;4505.0;4073.0;6738.0;5343.0;6014.0
;;;9734.0;6393.0;;;6432.0;5385.0;5089.0;4623.0;4148.0;6847.0;5379.0;6071.0
;;;9861.0;6543.0;;;6560.0;5516.0;5580.0;4742.0;4230.0;6914.0;5509.0;6158.0
;;;10214.0;6644.0;;;6688.0;5636.0;5651.0;4858.0;4263.0;7249.0;5618.0;6387.0
;;;;6773.0;;;6802.0;5656.0;5734.0;4976.0;4305.0;7285.0;5652.0;7011.0
;;;;6882.0;;;6919.0;5780.0;5823.0;5016.0;4419.0;7407.0;6129.0;7152.0
;;;;7030.0;;;7054.0;5876.0;5974.0;5233.0;4912.0;7437.0;6158.0;7277.0
;;;;7131.0;;;7157.0;6020.0;6070.0;5343.0;5012.0;7495.0;6394.0;7446.0
;;;;7284.0;;;7273.0;6135.0;6105.0;5464.0;5104.0;7524.0;6429.0;7694.0
;;;;7435.0;;;7379.0;6158.0;6194.0;5583.0;5209.0;7556.0;6542.0;7727.0
;;;;7559.0;;;7727.0;6280.0;6292.0;5618.0;5294.0;7691.0;6680.0;7855.0
;;;;7726.0;;;7963.0;6401.0;6456.0;5723.0;5393.0;7720.0;6763.0;8028.0
;;;;7867.0;;;8071.0;6550.0;6538.0;5838.0;5503.0;7878.0;6799.0;8052.0
;;;;8008.0;;;8172.0;6651.0;6618.0;5930.0;5589.0;8028.0;7059.0;8171.0
;;;;8151.0;;;8282.0;6781.0;6704.0;6047.0;5634.0;8156.0;7188.0;8223.0
;;;;8338.0;;;8631.0;6889.0;6858.0;6158.0;5714.0;8303.0;7282.0;8341.0
;;;;8449.0;;;8871.0;7037.0;7113.0;6194.0;5880.0;8560.0;7437.0;8529.0
;;;;8595.0;;;8983.0;7138.0;7154.0;6292.0;5954.0;8741.0;7531.0;8598.0
;;;;8741.0;;;9192.0;7289.0;7295.0;6517.0;6050.0;8857.0;7623.0;8623.0
;;;;8892.0;;;9308.0;7443.0;7423.0;6645.0;6144.0;9079.0;7727.0;8742.0
;;;;9024.0;;;9337.0;7566.0;7495.0;6759.0;6242.0;9131.0;7829.0;8762.0
;;;;9166.0;;;9441.0;7734.0;7583.0;6876.0;6326.0;9168.0;8028.0;8895.0
;;;;9343.0;;;9794.0;7874.0;7664.0;7011.0;6418.0;9398.0;8154.0;8954.0
;;;;9467.0;;;9922.0;8016.0;7834.0;7192.0;6496.0;9432.0;8462.0;8974.0
;;;;9600.0;;;10060.0;8156.0;7924.0;7230.0;6579.0;9522.0;8529.0;9187.0
;;;;9746.0;;;10198.0;8346.0;8073.0;7446.0;6639.0;9565.0;8564.0;9308.0
;;;;9873.0;;;;8456.0;8113.0;7556.0;6824.0;9711.0;8736.0;9333.0
;;;;9985.0;;;;8603.0;8137.0;7684.0;6913.0;9747.0;8859.0;9407.0
;;;;10097.0;;;;8748.0;8320.0;7920.0;7056.0;9838.0;8888.0;9747.0
;;;;10226.0;;;;8897.0;8395.0;8028.0;7154.0;9950.0;9331.0;9818.0
;;;;;;;;9031.0;8587.0;8383.0;7246.0;9986.0;9433.0;9876.0
;;;;;;;;9174.0;8725.0;8488.0;7328.0;10062.0;9468.0;9903.0
;;;;;;;;9308.0;8811.0;8588.0;7407.0;10191.0;9561.0;10167.0
;;;;;;;;9351.0;8879.0;8711.0;7495.0;;9665.0;
;;;;;;;;9475.0;9151.0;8742.0;7559.0;;9869.0;
;;;;;;;;9607.0;9224.0;8828.0;7591.0;;9914.0;
;;;;;;;;9734.0;9338.0;8940.0;7634.0;;10083.0;
;;;;;;;;9754.0;9561.0;8980.0;7695.0;;;
;;;;;;;;9881.0;9726.0;9039.0;7727.0;;;
;;;;;;;;9990.0;9818.0;9149.0;7796.0;;;
;;;;;;;;10105.0;9904.0;9294.0;7878.0;;;
;;;;;;;;10234.0;10127.0;9338.0;7979.0;;;
;;;;;;;;;10225.0;9398.0;8081.0;;;
;;;;;;;;;;9442.0;8173.0;;;
;;;;;;;;;;9529.0;8241.0;;;
;;;;;;;;;;9628.0;8339.0;;;
;;;;;;;;;;9751.0;8529.0;;;
;;;;;;;;;;9879.0;8703.0;;;
;;;;;;;;;;9919.0;8741.0;;;
;;;;;;;;;;10155.0;8785.0;;;
;;;;;;;;;;10225.0;8888.0;;;
;;;;;;;;;;;8976.0;;;
;;;;;;;;;;;9076.0;;;
;;;;;;;;;;;9253.0;;;
;;;;;;;;;;;9333.0;;;
;;;;;;;;;;;9406.0;;;
;;;;;;;;;;;9634.0;;;
;;;;;;;;;;;9732.0;;;
;;;;;;;;;;;9818.0;;;
;;;;;;;;;;;9866.0;;;
;;;;;;;;;;;9939.0;;;
;;;;;;;;;;;10119.0;;;
;;;;;;;;;;;10216.0;;;
