MU;Nb_Spikes;Fr_Hz;CoV_%;PNR_dB;Correlation_CCA
MU_1;16;5,4073;28,8656;11,2114;1,0
MU_2;17;7,033;17,3988;11,1205;0,9999
MU_3;31;8,4203;26,4765;11,0055;0,9999
MU_4;21;6,4733;27,8227;11,5917;0,9992
MU_5;19;5,5445;27,8181;11,754;0,9987
MU_6;20;5,7874;24,8468;11,0471;0,9985
MU_7;26;11,3857;24,165;11,1329;0,9976
MU_8;21;5,2362;27,9577;11,5441;0,9968
MU_9;15;5,1619;24,6404;11,1332;0,9853
MU_10;15;6,8267;21,9886;11,2564;0,9341
MU_11;16;5,0718;19,6997;11,3893;0,9296
MU_12;17;5,3753;19,1511;11,4581;0,9142
MU_13;22;4,9376;20,674;11,4414;0,8956
MU_14;17;8,4203;21,397;11,1018;0,8762
