1;2;3;4;5;6;7;8;9;10;11;12
182.0;155.0;110.0;172.0;219.0;96.0;209.0;102.0;171.0;145.0;95.0;386.0
301.0;286.0;223.0;392.0;300.0;392.0;307.0;127.0;302.0;276.0;181.0;787.0
395.0;397.0;306.0;515.0;406.0;608.0;505.0;176.0;412.0;391.0;292.0;1693.0
510.0;523.0;409.0;565.0;691.0;787.0;527.0;207.0;683.0;513.0;394.0;2052.0
575.0;667.0;517.0;702.0;809.0;945.0;682.0;324.0;813.0;1316.0;502.0;2247.0
707.0;797.0;600.0;823.0;943.0;1165.0;708.0;401.0;930.0;1507.0;857.0;2541.0
833.0;914.0;695.0;951.0;1156.0;1230.0;934.0;426.0;1222.0;1693.0;921.0;2820.0
955.0;1061.0;813.0;1100.0;1479.0;1317.0;1043.0;508.0;1342.0;2334.0;1007.0;3254.0
1105.0;1206.0;949.0;1226.0;1579.0;1509.0;1149.0;858.0;1475.0;2393.0;1225.0;3863.0
1236.0;1326.0;1046.0;1382.0;1664.0;1672.0;1273.0;958.0;1719.0;2710.0;1259.0;4346.0
1387.0;1459.0;1162.0;1503.0;2069.0;1894.0;1380.0;1082.0;1838.0;2944.0;1442.0;4555.0
1513.0;1586.0;1286.0;1642.0;2257.0;2079.0;1403.0;1258.0;1934.0;3193.0;1706.0;4835.0
1647.0;1696.0;1393.0;1784.0;2372.0;2179.0;1470.0;1348.0;2078.0;3317.0;1789.0;5217.0
1789.0;1822.0;1483.0;1918.0;2541.0;2247.0;1570.0;1410.0;2247.0;3455.0;1980.0;5805.0
1916.0;1919.0;1573.0;2025.0;2706.0;2390.0;1655.0;1480.0;2272.0;3544.0;2052.0;6428.0
2035.0;2062.0;1667.0;2144.0;2790.0;2453.0;1764.0;1538.0;2416.0;3863.0;2178.0;6653.0
2154.0;2258.0;1777.0;2174.0;2880.0;2543.0;1790.0;1607.0;2541.0;3996.0;2334.0;7760.0
2261.0;2393.0;1889.0;2267.0;3195.0;2603.0;1876.0;1793.0;2567.0;4185.0;2384.0;9093.0
2365.0;2551.0;1914.0;2371.0;3371.0;2786.0;1969.0;1943.0;2734.0;4250.0;2416.0;9444.0
2459.0;2717.0;1982.0;2466.0;3483.0;2946.0;2059.0;2178.0;2820.0;4293.0;2541.0;9731.0
2571.0;2830.0;2062.0;2561.0;3582.0;3005.0;2179.0;2209.0;2846.0;4345.0;2705.0;10013.0
2690.0;2954.0;2192.0;2680.0;3787.0;3318.0;2205.0;2251.0;3066.0;4403.0;2779.0;
2778.0;3043.0;2251.0;2773.0;3899.0;3453.0;2257.0;2282.0;3219.0;4555.0;2959.0;
2898.0;3202.0;2366.0;2893.0;3999.0;3595.0;2363.0;2386.0;3343.0;4710.0;3004.0;
3018.0;3327.0;2467.0;3008.0;4303.0;3694.0;2455.0;2459.0;3479.0;4965.0;3127.0;
3138.0;3455.0;2588.0;3128.0;4388.0;4156.0;2698.0;2481.0;3570.0;5273.0;3150.0;
3265.0;3547.0;2710.0;3260.0;4580.0;4715.0;2784.0;2572.0;3736.0;5346.0;3234.0;
3355.0;3713.0;2797.0;3345.0;4638.0;4936.0;2880.0;2702.0;3889.0;5785.0;3404.0;
3446.0;3873.0;2886.0;3453.0;4837.0;5453.0;2987.0;2738.0;4023.0;5911.0;3452.0;
3573.0;3992.0;3000.0;3563.0;4915.0;5824.0;3070.0;2790.0;4211.0;6068.0;3562.0;
3663.0;4188.0;3082.0;3653.0;5037.0;6043.0;3176.0;2820.0;4319.0;6233.0;3796.0;
3779.0;4296.0;3180.0;3769.0;5122.0;6296.0;3203.0;2903.0;4429.0;6470.0;4046.0;
3902.0;4406.0;3292.0;3798.0;5356.0;6370.0;3371.0;2975.0;4581.0;6548.0;4154.0;
4008.0;4565.0;3376.0;3892.0;5458.0;6473.0;3475.0;3040.0;4740.0;6653.0;4344.0;
4116.0;4721.0;3488.0;3921.0;5478.0;6495.0;3574.0;3291.0;4861.0;6816.0;4438.0;
4261.0;4838.0;3588.0;4003.0;5815.0;6546.0;3676.0;3348.0;4991.0;6961.0;4489.0;
4357.0;4975.0;3688.0;4106.0;5908.0;6654.0;3777.0;3452.0;5119.0;7252.0;4532.0;
4493.0;5095.0;3780.0;4251.0;6048.0;6962.0;3892.0;3483.0;5243.0;7419.0;4791.0;
4629.0;5220.0;3905.0;4347.0;6463.0;7185.0;3916.0;4008.0;5381.0;7526.0;5013.0;
4725.0;5349.0;3997.0;4483.0;6545.0;7417.0;4107.0;4028.0;5504.0;7638.0;5047.0;
4818.0;5481.0;4121.0;4624.0;6656.0;7477.0;4131.0;4138.0;5629.0;7864.0;5118.0;
4946.0;5632.0;4194.0;4720.0;6772.0;7640.0;4191.0;4186.0;5655.0;8002.0;5291.0;
5046.0;5795.0;4308.0;4813.0;7056.0;8003.0;4293.0;4282.0;5811.0;8068.0;5538.0;
5170.0;5929.0;4392.0;4936.0;7174.0;8368.0;4380.0;4324.0;5953.0;8138.0;5638.0;
5284.0;6068.0;4463.0;5036.0;7275.0;8535.0;4405.0;4348.0;6091.0;8363.0;5731.0;
5421.0;6197.0;4585.0;5165.0;7360.0;8712.0;4460.0;4505.0;6214.0;8652.0;5829.0;
5557.0;6305.0;4709.0;5279.0;7536.0;8769.0;4572.0;4575.0;6295.0;8809.0;5911.0;
5676.0;6438.0;4817.0;5416.0;7630.0;8870.0;4705.0;4746.0;6321.0;9688.0;5981.0;
5816.0;6555.0;4920.0;5547.0;7735.0;8954.0;4813.0;4832.0;6454.0;9877.0;6233.0;
5922.0;6663.0;5026.0;5631.0;7833.0;9459.0;4835.0;4941.0;6572.0;10107.0;6313.0;
