1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31
156.0;197.0;197.0;175.0;153.0;266.0;182.0;231.0;139.0;182.0;161.0;201.0;192.0;167.0;187.0;221.0;170.0;161.0;161.0;144.0;168.0;163.0;157.0;140.0;158.0;81.0;110.0;145.0;156.0;69.0;191.0
189.0;324.0;431.0;242.0;235.0;324.0;203.0;289.0;177.0;213.0;329.0;545.0;282.0;274.0;220.0;274.0;296.0;223.0;182.0;192.0;423.0;232.0;274.0;169.0;227.0;150.0;146.0;390.0;278.0;142.0;298.0
281.0;596.0;715.0;284.0;272.0;517.0;232.0;372.0;273.0;298.0;519.0;700.0;324.0;409.0;278.0;329.0;337.0;313.0;304.0;318.0;592.0;399.0;417.0;234.0;395.0;282.0;237.0;604.0;299.0;230.0;335.0
563.0;623.0;751.0;538.0;315.0;547.0;268.0;398.0;326.0;422.0;705.0;760.0;414.0;846.0;320.0;412.0;404.0;390.0;332.0;593.0;720.0;500.0;704.0;374.0;504.0;383.0;378.0;670.0;409.0;269.0;579.0
703.0;698.0;908.0;574.0;427.0;690.0;288.0;533.0;411.0;604.0;768.0;884.0;439.0;961.0;443.0;441.0;439.0;585.0;439.0;619.0;1231.0;637.0;854.0;399.0;674.0;486.0;658.0;737.0;579.0;392.0;708.0
1223.0;1638.0;983.0;708.0;526.0;804.0;513.0;576.0;539.0;785.0;1047.0;911.0;528.0;1095.0;588.0;712.0;637.0;605.0;536.0;739.0;1320.0;669.0;970.0;508.0;831.0;666.0;738.0;877.0;600.0;567.0;759.0
1385.0;1733.0;1116.0;821.0;684.0;865.0;541.0;655.0;694.0;966.0;1071.0;1063.0;717.0;1258.0;687.0;780.0;716.0;725.0;682.0;887.0;1526.0;721.0;1103.0;567.0;869.0;733.0;1062.0;1126.0;720.0;721.0;821.0
1630.0;1984.0;1149.0;899.0;978.0;957.0;657.0;687.0;776.0;1079.0;1394.0;1095.0;763.0;1387.0;716.0;820.0;876.0;827.0;725.0;908.0;1633.0;792.0;1312.0;604.0;1044.0;823.0;1203.0;1235.0;850.0;901.0;975.0
1751.0;2090.0;1216.0;1228.0;1070.0;1061.0;710.0;746.0;878.0;1145.0;1545.0;1255.0;788.0;1511.0;771.0;905.0;1023.0;855.0;864.0;963.0;1859.0;854.0;1392.0;678.0;1131.0;857.0;1223.0;1335.0;965.0;1195.0;1108.0
1841.0;2141.0;1247.0;1249.0;1104.0;1092.0;769.0;923.0;1080.0;1353.0;1650.0;1353.0;851.0;1658.0;970.0;1030.0;1227.0;1127.0;959.0;1066.0;1984.0;926.0;1625.0;880.0;1219.0;1067.0;1401.0;1541.0;1099.0;1223.0;1241.0
1955.0;2305.0;1534.0;1357.0;1156.0;1224.0;926.0;1028.0;1167.0;1518.0;1770.0;1433.0;903.0;1779.0;990.0;1332.0;1332.0;1227.0;990.0;1142.0;2053.0;1048.0;1718.0;1024.0;1325.0;1124.0;1541.0;1615.0;1209.0;1333.0;1364.0
2136.0;2453.0;1566.0;1385.0;1245.0;1511.0;1085.0;1077.0;1364.0;1548.0;1870.0;1509.0;1331.0;1847.0;1104.0;1361.0;1402.0;1321.0;1236.0;1340.0;2185.0;1103.0;1949.0;1128.0;1393.0;1317.0;1603.0;1719.0;1328.0;1474.0;1384.0
2184.0;2589.0;1625.0;1406.0;1344.0;1551.0;1173.0;1216.0;1408.0;1640.0;1976.0;1529.0;1353.0;1894.0;1159.0;1453.0;1456.0;1359.0;1267.0;1645.0;2291.0;1135.0;2045.0;1215.0;1417.0;1461.0;1711.0;1819.0;1388.0;1636.0;1543.0
2302.0;2655.0;1671.0;1501.0;1374.0;1750.0;1333.0;1320.0;1504.0;1741.0;2099.0;1557.0;1422.0;1944.0;1227.0;1536.0;1536.0;1389.0;1332.0;1706.0;2421.0;1203.0;2177.0;1235.0;1469.0;1545.0;1811.0;1954.0;1536.0;1659.0;1644.0
2402.0;2689.0;1852.0;1529.0;1521.0;1839.0;1360.0;1389.0;1739.0;1762.0;2305.0;1641.0;1451.0;2169.0;1274.0;1562.0;1647.0;1465.0;1540.0;1758.0;2882.0;1224.0;2299.0;1323.0;1519.0;1611.0;1848.0;1988.0;1641.0;1791.0;1768.0
2558.0;2790.0;2145.0;1845.0;1760.0;1986.0;1389.0;1475.0;1771.0;1858.0;2447.0;1681.0;1625.0;2291.0;1355.0;1686.0;1855.0;1537.0;1955.0;1840.0;2994.0;1390.0;2413.0;1385.0;1740.0;1648.0;1893.0;2064.0;1736.0;1851.0;1860.0
2845.0;2849.0;2177.0;1890.0;1951.0;2121.0;1478.0;1512.0;1838.0;1975.0;2511.0;1831.0;1727.0;2529.0;1514.0;1773.0;1979.0;1653.0;1981.0;1965.0;3120.0;1661.0;2535.0;1533.0;1823.0;1731.0;1930.0;2086.0;1859.0;1889.0;2004.0
2968.0;2887.0;2212.0;1962.0;1993.0;2205.0;1510.0;1637.0;1944.0;2002.0;2559.0;1957.0;1855.0;2604.0;1546.0;1976.0;2066.0;1720.0;2073.0;2077.0;3214.0;1827.0;2750.0;1623.0;1946.0;1815.0;2078.0;2558.0;1956.0;1972.0;2152.0
3147.0;3118.0;2299.0;2005.0;2116.0;2293.0;1532.0;1756.0;2108.0;2056.0;2587.0;2131.0;1949.0;2886.0;1649.0;2091.0;2425.0;1765.0;2558.0;2196.0;3393.0;1980.0;2871.0;1649.0;1992.0;1901.0;2152.0;2666.0;2061.0;2084.0;2315.0
3296.0;3153.0;2427.0;2147.0;2200.0;2326.0;1643.0;1812.0;2210.0;2086.0;2697.0;2316.0;1988.0;2981.0;1685.0;2342.0;2558.0;1819.0;2663.0;2318.0;3563.0;2101.0;2986.0;1719.0;2059.0;1938.0;2174.0;2749.0;2173.0;2179.0;2452.0
3416.0;3249.0;2551.0;2191.0;2315.0;2406.0;1763.0;1856.0;2307.0;2200.0;2777.0;2450.0;2092.0;3104.0;1724.0;2422.0;2782.0;1957.0;2690.0;2406.0;3663.0;2155.0;3112.0;1751.0;2090.0;1962.0;2278.0;2883.0;2295.0;2258.0;2601.0
3495.0;3299.0;2582.0;2313.0;2409.0;2435.0;1794.0;1951.0;2330.0;2230.0;3002.0;2550.0;2156.0;3320.0;1761.0;2595.0;3001.0;1980.0;2772.0;2453.0;3786.0;2178.0;3555.0;1958.0;2176.0;1984.0;2398.0;2958.0;2420.0;2445.0;2741.0
3532.0;3370.0;2741.0;2452.0;2603.0;2604.0;1848.0;1988.0;2420.0;2315.0;3095.0;2584.0;2176.0;3411.0;1855.0;2617.0;3104.0;2053.0;2886.0;2508.0;3888.0;2278.0;3880.0;2073.0;2290.0;2051.0;2450.0;3048.0;2554.0;2467.0;2848.0
3685.0;3419.0;2854.0;2597.0;2729.0;2719.0;1980.0;2085.0;2464.0;2466.0;3139.0;2681.0;2298.0;3547.0;1903.0;2706.0;3133.0;2082.0;2978.0;2674.0;4068.0;2299.0;4532.0;2155.0;2557.0;2082.0;2551.0;3229.0;2637.0;2544.0;2986.0
3800.0;3653.0;3000.0;2686.0;2826.0;2831.0;2075.0;2295.0;2593.0;2548.0;3165.0;2732.0;2426.0;3872.0;1973.0;2810.0;3250.0;2173.0;3088.0;2806.0;4174.0;2414.0;4742.0;2286.0;2657.0;2282.0;2737.0;3261.0;2662.0;2781.0;3163.0
4074.0;3688.0;3304.0;2737.0;2965.0;2954.0;2135.0;2418.0;2675.0;2579.0;3233.0;2784.0;2530.0;4068.0;1993.0;2935.0;3397.0;2194.0;3141.0;2884.0;4205.0;2470.0;4882.0;2410.0;2753.0;2556.0;2794.0;3571.0;2746.0;2949.0;3300.0
4225.0;3792.0;3415.0;2764.0;3173.0;2982.0;2214.0;2499.0;2710.0;2803.0;3259.0;2806.0;2686.0;4400.0;2094.0;3169.0;3500.0;2295.0;3185.0;2981.0;4316.0;2567.0;5083.0;2466.0;2969.0;2646.0;2876.0;3666.0;2890.0;2986.0;3381.0
4329.0;3920.0;3540.0;2796.0;3258.0;3131.0;2303.0;2565.0;2801.0;2894.0;3288.0;2911.0;2878.0;4438.0;2152.0;3251.0;3567.0;2316.0;3227.0;3071.0;4540.0;2654.0;5311.0;2563.0;3149.0;2694.0;2917.0;3798.0;2994.0;3048.0;3422.0
4369.0;4235.0;3569.0;2919.0;3370.0;3157.0;2428.0;2654.0;2903.0;3221.0;3388.0;3009.0;2965.0;4527.0;2195.0;3385.0;3659.0;2512.0;3249.0;3177.0;4658.0;2751.0;5439.0;2637.0;3264.0;2745.0;2973.0;4039.0;3108.0;3095.0;3536.0
4495.0;4349.0;3778.0;2972.0;3528.0;3251.0;2449.0;2683.0;2946.0;3350.0;3517.0;3142.0;2999.0;4613.0;2215.0;3479.0;3688.0;2546.0;3350.0;3255.0;5091.0;2789.0;5702.0;2666.0;3332.0;2806.0;3037.0;4129.0;3133.0;3212.0;3686.0
4656.0;4372.0;3809.0;3097.0;3603.0;3280.0;2588.0;2795.0;2971.0;3381.0;3537.0;3166.0;3095.0;4675.0;2514.0;3806.0;3790.0;2658.0;3378.0;3286.0;5319.0;2867.0;5814.0;2757.0;3358.0;2879.0;3064.0;4214.0;3222.0;3246.0;3801.0
4765.0;4649.0;4061.0;3150.0;3874.0;3425.0;2698.0;2888.0;3004.0;3434.0;3609.0;3243.0;3246.0;4734.0;2583.0;4038.0;3991.0;2778.0;3411.0;3364.0;5439.0;2949.0;5897.0;2892.0;3399.0;2961.0;3133.0;4239.0;3415.0;3362.0;3921.0
4905.0;4758.0;4234.0;3299.0;4190.0;3518.0;2732.0;3153.0;3159.0;3480.0;3795.0;3279.0;3328.0;4880.0;2682.0;4362.0;4089.0;2798.0;3667.0;3480.0;5562.0;2973.0;6024.0;3048.0;3462.0;3060.0;3248.0;4336.0;3549.0;3480.0;4055.0
5012.0;4979.0;4352.0;3420.0;4513.0;3568.0;2845.0;3402.0;3269.0;3831.0;3837.0;3372.0;3382.0;4961.0;2777.0;4451.0;4120.0;2885.0;3796.0;3686.0;5714.0;3112.0;6573.0;3145.0;3492.0;3141.0;3367.0;4399.0;3571.0;3556.0;4231.0
5104.0;5096.0;4377.0;3535.0;4603.0;3669.0;2908.0;3475.0;3346.0;3933.0;3877.0;3422.0;3419.0;5078.0;2799.0;4471.0;4209.0;2966.0;3898.0;3711.0;5762.0;3137.0;6669.0;3243.0;3577.0;3256.0;3487.0;4472.0;3645.0;3663.0;4373.0
5279.0;5121.0;4407.0;3810.0;4646.0;3695.0;2929.0;3501.0;3380.0;4086.0;3954.0;3475.0;3664.0;5179.0;2957.0;4627.0;4278.0;2997.0;4031.0;3831.0;5898.0;3269.0;6932.0;3272.0;3690.0;3324.0;3560.0;4562.0;3794.0;3747.0;4462.0
5437.0;5233.0;4516.0;3917.0;4715.0;3897.0;2975.0;3633.0;3414.0;4218.0;4270.0;3520.0;3697.0;5694.0;2988.0;4773.0;4320.0;3124.0;4078.0;3912.0;6032.0;3336.0;7045.0;3369.0;3812.0;3559.0;3674.0;4632.0;3876.0;3795.0;4526.0
