1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33
186.0;180.0;157.0;272.0;168.0;269.0;155.0;149.0;163.0;174.0;290.0;295.0;159.0;158.0;177.0;145.0;126.0;169.0;131.0;256.0;139.0;113.0;167.0;168.0;163.0;267.0;252.0;620.0;168.0;1192.0;163.0;168.0;262.0
326.0;319.0;285.0;299.0;290.0;354.0;176.0;371.0;549.0;199.0;373.0;378.0;299.0;299.0;303.0;261.0;151.0;201.0;284.0;350.0;271.0;166.0;252.0;295.0;295.0;372.0;299.0;713.0;295.0;1797.0;295.0;372.0;428.0
478.0;472.0;390.0;589.0;462.0;478.0;267.0;488.0;604.0;314.0;453.0;492.0;621.0;451.0;359.0;384.0;206.0;343.0;381.0;377.0;366.0;465.0;501.0;412.0;455.0;507.0;517.0;755.0;1197.0;3325.0;719.0;1192.0;511.0
603.0;610.0;533.0;905.0;485.0;539.0;374.0;516.0;651.0;458.0;498.0;575.0;1187.0;606.0;470.0;549.0;264.0;462.0;462.0;700.0;457.0;894.0;557.0;448.0;578.0;792.0;575.0;797.0;1327.0;4107.0;1191.0;1342.0;583.0
743.0;736.0;635.0;932.0;579.0;579.0;472.0;628.0;717.0;492.0;586.0;601.0;1336.0;729.0;588.0;584.0;359.0;575.0;605.0;997.0;590.0;1002.0;603.0;505.0;748.0;920.0;695.0;902.0;1515.0;4132.0;1329.0;1374.0;807.0
921.0;915.0;776.0;1190.0;725.0;641.0;585.0;769.0;895.0;591.0;718.0;724.0;1588.0;832.0;617.0;638.0;463.0;620.0;715.0;1092.0;619.0;1144.0;888.0;574.0;1189.0;1514.0;743.0;1230.0;1802.0;4468.0;1726.0;2076.0;972.0
1071.0;1077.0;992.0;1229.0;751.0;702.0;709.0;899.0;917.0;722.0;825.0;829.0;1733.0;917.0;714.0;1007.0;501.0;738.0;735.0;1112.0;729.0;1184.0;960.0;609.0;1583.0;1584.0;794.0;1359.0;2219.0;4572.0;1974.0;2222.0;1342.0
1215.0;1209.0;1099.0;1331.0;894.0;793.0;799.0;975.0;1007.0;746.0;909.0;885.0;1853.0;938.0;734.0;1081.0;557.0;759.0;803.0;1193.0;758.0;1256.0;1067.0;801.0;1668.0;1642.0;959.0;1515.0;2479.0;5203.0;2089.0;2621.0;1530.0
1355.0;1349.0;1220.0;1370.0;1207.0;909.0;1006.0;1081.0;1046.0;893.0;1067.0;914.0;2077.0;992.0;892.0;1186.0;906.0;892.0;840.0;1274.0;799.0;1497.0;1452.0;894.0;1723.0;1743.0;1068.0;1602.0;2625.0;5620.0;2222.0;2658.0;2080.0
1528.0;1607.0;1361.0;1610.0;1502.0;999.0;1090.0;1345.0;1113.0;918.0;1196.0;935.0;2107.0;1223.0;925.0;1220.0;926.0;1085.0;926.0;1364.0;888.0;1584.0;1571.0;934.0;3325.0;1966.0;1139.0;1709.0;2658.0;5978.0;2339.0;2752.0;2180.0
1615.0;1748.0;1484.0;1939.0;1624.0;1106.0;1113.0;1466.0;1191.0;1059.0;1229.0;997.0;2210.0;1329.0;1069.0;1347.0;966.0;1185.0;1029.0;1391.0;969.0;1608.0;1669.0;1010.0;3412.0;2119.0;1185.0;1965.0;2884.0;6115.0;2611.0;2777.0;2297.0
1754.0;1874.0;1603.0;2089.0;2321.0;1201.0;1200.0;1597.0;1232.0;1085.0;1404.0;1025.0;2470.0;1367.0;1186.0;1375.0;1056.0;1228.0;1122.0;1615.0;1013.0;1741.0;1920.0;1040.0;3691.0;2260.0;1221.0;2357.0;3298.0;7084.0;2658.0;3043.0;2625.0
1881.0;1991.0;1701.0;2301.0;2813.0;1301.0;1309.0;1684.0;1333.0;1225.0;1501.0;1104.0;2614.0;1589.0;1235.0;1465.0;1215.0;1338.0;1292.0;1636.0;1053.0;1830.0;2072.0;1315.0;4132.0;2511.0;1315.0;2629.0;3325.0;7326.0;2752.0;3214.0;2772.0
1998.0;2098.0;1822.0;2327.0;2912.0;1387.0;1344.0;1806.0;1357.0;1351.0;1525.0;1132.0;2649.0;1625.0;1327.0;1486.0;1274.0;1499.0;1328.0;1659.0;1197.0;1850.0;2294.0;1498.0;4564.0;2777.0;1528.0;2878.0;3560.0;9004.0;2777.0;3330.0;2869.0
2105.0;2230.0;1952.0;2483.0;3043.0;1492.0;1380.0;1935.0;1592.0;1531.0;1612.0;1324.0;2875.0;1843.0;1540.0;1586.0;1328.0;1544.0;1508.0;1805.0;1287.0;1966.0;2411.0;1584.0;4608.0;3294.0;1726.0;3298.0;3691.0;9605.0;2887.0;3419.0;2942.0
2237.0;2364.0;2207.0;2535.0;3065.0;1709.0;1519.0;2015.0;1729.0;1594.0;1705.0;1410.0;3031.0;1930.0;1587.0;1619.0;1375.0;1631.0;1638.0;1930.0;1325.0;2002.0;2516.0;1629.0;5285.0;3330.0;1879.0;3325.0;3844.0;9962.0;3043.0;3630.0;3105.0
