1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35
128.0;181.0;116.0;140.0;136.0;342.0;340.0;167.0;145.0;195.0;191.0;109.0;156.0;156.0;106.0;106.0;169.0;173.0;100.0;131.0;204.0;106.0;211.0;139.0;100.0;98.0;106.0;200.0;106.0;469.0;106.0;212.0;205.0;318.0;111.0
175.0;329.0;169.0;246.0;190.0;495.0;367.0;198.0;252.0;467.0;256.0;185.0;261.0;381.0;199.0;207.0;241.0;248.0;207.0;203.0;377.0;133.0;305.0;214.0;185.0;163.0;175.0;251.0;166.0;588.0;146.0;313.0;350.0;451.0;340.0
335.0;496.0;222.0;335.0;731.0;623.0;471.0;348.0;372.0;507.0;284.0;263.0;357.0;479.0;351.0;331.0;317.0;287.0;326.0;283.0;444.0;161.0;330.0;292.0;264.0;198.0;616.0;324.0;256.0;698.0;167.0;593.0;520.0;482.0;706.0
501.0;609.0;482.0;475.0;890.0;702.0;598.0;489.0;592.0;602.0;395.0;334.0;510.0;585.0;458.0;574.0;381.0;325.0;693.0;328.0;505.0;208.0;351.0;339.0;325.0;444.0;652.0;499.0;372.0;860.0;252.0;865.0;631.0;711.0;925.0
603.0;725.0;620.0;834.0;950.0;722.0;708.0;595.0;713.0;726.0;501.0;513.0;636.0;619.0;587.0;749.0;481.0;399.0;1120.0;375.0;584.0;286.0;482.0;381.0;426.0;485.0;698.0;583.0;478.0;1003.0;336.0;919.0;746.0;1419.0;1269.0
719.0;881.0;709.0;956.0;1042.0;1043.0;809.0;627.0;815.0;792.0;694.0;591.0;835.0;741.0;607.0;851.0;502.0;473.0;1256.0;450.0;623.0;359.0;581.0;573.0;597.0;583.0;719.0;647.0;595.0;1136.0;372.0;1271.0;903.0;1731.0;1563.0
875.0;1156.0;737.0;1049.0;1294.0;1132.0;920.0;726.0;839.0;873.0;721.0;625.0;938.0;841.0;631.0;921.0;584.0;732.0;1500.0;564.0;748.0;506.0;701.0;626.0;741.0;609.0;1053.0;1265.0;731.0;1260.0;452.0;1462.0;1051.0;1754.0;2241.0
1150.0;1288.0;809.0;1301.0;1418.0;1452.0;1018.0;899.0;861.0;915.0;743.0;700.0;958.0;924.0;729.0;1010.0;628.0;767.0;1556.0;592.0;855.0;577.0;849.0;724.0;870.0;698.0;1181.0;1369.0;920.0;1291.0;577.0;1509.0;1181.0;1976.0;2402.0
1283.0;1437.0;931.0;1405.0;1581.0;1645.0;1040.0;1022.0;938.0;1013.0;797.0;744.0;1005.0;970.0;831.0;1119.0;707.0;835.0;1630.0;618.0;1003.0;660.0;903.0;747.0;915.0;797.0;1254.0;1411.0;1015.0;1550.0;601.0;1555.0;1312.0;2398.0;2486.0
1432.0;1571.0;1039.0;1540.0;2001.0;1678.0;1119.0;1047.0;961.0;1100.0;824.0;862.0;1047.0;1140.0;954.0;1304.0;745.0;868.0;1751.0;700.0;1261.0;1006.0;1047.0;824.0;954.0;914.0;1285.0;1504.0;1112.0;1754.0;698.0;1756.0;1457.0;2946.0;2592.0
1566.0;1741.0;1273.0;1658.0;2037.0;2042.0;1223.0;1142.0;1022.0;1216.0;920.0;926.0;1095.0;1173.0;1029.0;1364.0;870.0;951.0;1879.0;738.0;1295.0;1096.0;1179.0;907.0;1010.0;1009.0;1317.0;1643.0;1290.0;1869.0;920.0;1879.0;1766.0;3078.0;2954.0
1659.0;1902.0;1301.0;1790.0;2133.0;2392.0;1280.0;1175.0;1054.0;1424.0;947.0;1053.0;1311.0;1499.0;1050.0;1732.0;1025.0;1014.0;1935.0;765.0;1412.0;1191.0;1264.0;929.0;1046.0;1031.0;1461.0;1868.0;1314.0;1976.0;1019.0;2009.0;1916.0;3196.0;3362.0
1736.0;1992.0;1380.0;2031.0;2385.0;2586.0;1315.0;1265.0;1163.0;1570.0;1133.0;1138.0;1419.0;1650.0;1118.0;1756.0;1058.0;1049.0;2001.0;865.0;1498.0;1225.0;1658.0;1122.0;1139.0;1147.0;1497.0;2019.0;1573.0;2005.0;1128.0;2280.0;1981.0;3271.0;3650.0
1897.0;2124.0;1426.0;2129.0;2513.0;2687.0;1429.0;1290.0;1418.0;1595.0;1171.0;1263.0;1465.0;1798.0;1220.0;1914.0;1144.0;1153.0;2131.0;919.0;1549.0;1327.0;1718.0;1200.0;1196.0;1254.0;1730.0;2286.0;1752.0;2103.0;1165.0;2397.0;2014.0;3342.0;3705.0
1986.0;2254.0;1755.0;2170.0;2562.0;2806.0;1652.0;1455.0;1722.0;1679.0;1195.0;1462.0;1596.0;1900.0;1590.0;2007.0;1175.0;1241.0;2351.0;947.0;1967.0;1356.0;2033.0;1268.0;1254.0;1498.0;1792.0;2393.0;1882.0;2392.0;1274.0;2839.0;2148.0;3510.0;3821.0
