1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34
128.0;177.0;165.0;551.0;168.0;158.0;148.0;533.0;175.0;120.0;227.0;136.0;247.0;142.0;288.0;238.0;126.0;268.0;149.0;262.0;153.0;139.0;137.0;144.0;135.0;183.0;121.0;228.0;130.0;125.0;126.0;130.0;118.0;219.0
228.0;342.0;220.0;646.0;277.0;237.0;168.0;658.0;262.0;231.0;354.0;517.0;453.0;242.0;388.0;361.0;186.0;353.0;273.0;451.0;233.0;208.0;233.0;372.0;468.0;230.0;224.0;337.0;204.0;232.0;226.0;233.0;147.0;371.0
334.0;483.0;272.0;677.0;378.0;345.0;242.0;757.0;320.0;331.0;617.0;637.0;752.0;504.0;496.0;460.0;346.0;381.0;352.0;513.0;353.0;354.0;254.0;483.0;759.0;255.0;324.0;507.0;235.0;551.0;316.0;316.0;241.0;520.0
379.0;584.0;339.0;798.0;465.0;457.0;351.0;833.0;475.0;458.0;803.0;664.0;824.0;566.0;607.0;558.0;392.0;483.0;473.0;612.0;396.0;468.0;324.0;657.0;828.0;552.0;353.0;590.0;295.0;751.0;342.0;412.0;311.0;673.0
566.0;647.0;372.0;833.0;498.0;482.0;627.0;960.0;502.0;545.0;931.0;836.0;952.0;604.0;646.0;657.0;456.0;503.0;635.0;882.0;450.0;569.0;485.0;820.0;961.0;755.0;426.0;828.0;422.0;955.0;487.0;503.0;408.0;840.0
666.0;854.0;659.0;969.0;672.0;637.0;838.0;1027.0;621.0;638.0;1075.0;952.0;1119.0;766.0;667.0;785.0;511.0;643.0;666.0;970.0;495.0;645.0;789.0;1053.0;1071.0;785.0;487.0;1014.0;451.0;1255.0;508.0;832.0;472.0;949.0
965.0;987.0;960.0;1124.0;796.0;801.0;930.0;1072.0;755.0;816.0;1137.0;1082.0;1193.0;804.0;699.0;832.0;544.0;767.0;824.0;1070.0;571.0;755.0;823.0;1135.0;1175.0;814.0;547.0;1073.0;523.0;1391.0;549.0;1106.0;663.0;1073.0
1032.0;1045.0;1071.0;1371.0;948.0;824.0;952.0;1176.0;775.0;948.0;1221.0;1213.0;1397.0;975.0;821.0;908.0;642.0;972.0;962.0;1140.0;591.0;967.0;872.0;1202.0;1263.0;963.0;639.0;1170.0;590.0;1519.0;615.0;1272.0;722.0;1208.0
1064.0;1112.0;1177.0;1617.0;1028.0;870.0;1074.0;1261.0;808.0;1073.0;1251.0;1277.0;1504.0;1125.0;877.0;960.0;755.0;1065.0;1064.0;1231.0;620.0;1060.0;965.0;1585.0;1399.0;1057.0;1071.0;1253.0;617.0;1607.0;846.0;1330.0;842.0;1366.0
1171.0;1286.0;1212.0;1733.0;1077.0;945.0;1129.0;1532.0;828.0;1177.0;1435.0;1315.0;1609.0;1223.0;915.0;1058.0;811.0;1128.0;1143.0;1312.0;646.0;1101.0;1049.0;1730.0;1527.0;1234.0;1098.0;1368.0;706.0;1821.0;1175.0;1388.0;961.0;1490.0
1207.0;1339.0;1354.0;1763.0;1216.0;1074.0;1231.0;1619.0;896.0;1249.0;1584.0;1340.0;1664.0;1252.0;1078.0;1079.0;913.0;1255.0;1171.0;1371.0;771.0;1166.0;1170.0;1853.0;1696.0;1260.0;1166.0;1392.0;771.0;1956.0;1276.0;1490.0;1102.0;1611.0
1326.0;1602.0;1647.0;1865.0;1323.0;1131.0;1297.0;1843.0;951.0;1316.0;1621.0;1375.0;1740.0;1308.0;1124.0;1151.0;948.0;1318.0;1247.0;1447.0;971.0;1187.0;1193.0;1959.0;1770.0;1326.0;1200.0;1592.0;820.0;2188.0;1334.0;1580.0;1123.0;2025.0
1359.0;1729.0;1746.0;2001.0;1372.0;1259.0;1443.0;1871.0;986.0;1385.0;1735.0;1499.0;1892.0;1622.0;1168.0;1197.0;1015.0;1498.0;1314.0;1611.0;1061.0;1256.0;1233.0;1987.0;1829.0;1403.0;1314.0;1763.0;893.0;2445.0;1411.0;1654.0;1170.0;2114.0
1718.0;1855.0;1863.0;2276.0;1435.0;1304.0;1513.0;1893.0;1018.0;1570.0;1830.0;1570.0;1958.0;1698.0;1191.0;1223.0;1078.0;1608.0;1377.0;1708.0;1082.0;1527.0;1304.0;2093.0;1962.0;1584.0;1497.0;1849.0;1162.0;2508.0;1495.0;1778.0;1326.0;2143.0
1752.0;1991.0;1964.0;2491.0;1558.0;1366.0;1613.0;2007.0;1150.0;1631.0;1969.0;1621.0;1980.0;1741.0;1227.0;1317.0;1135.0;1659.0;1616.0;1767.0;1170.0;1650.0;1420.0;2185.0;2058.0;1610.0;1603.0;1945.0;1188.0;2744.0;1593.0;1830.0;1403.0;2270.0
