1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43
141.0;196.0;149.0;202.0;161.0;154.0;180.0;151.0;131.0;164.0;138.0;168.0;304.0;299.0;122.0;134.0;368.0;170.0;151.0;116.0;180.0;245.0;152.0;148.0;270.0;390.0;373.0;150.0;98.0;214.0;145.0;115.0;156.0;279.0;125.0;302.0;365.0;298.0;438.0;425.0;216.0;272.0;107.0
187.0;294.0;371.0;289.0;279.0;174.0;435.0;270.0;281.0;269.0;286.0;289.0;568.0;379.0;268.0;255.0;421.0;215.0;310.0;207.0;212.0;299.0;304.0;232.0;426.0;486.0;436.0;172.0;173.0;420.0;210.0;140.0;264.0;303.0;169.0;430.0;430.0;365.0;597.0;558.0;310.0;439.0;482.0
299.0;585.0;454.0;459.0;451.0;284.0;570.0;381.0;471.0;466.0;439.0;438.0;694.0;461.0;390.0;297.0;450.0;373.0;393.0;329.0;279.0;339.0;334.0;395.0;556.0;571.0;471.0;254.0;301.0;559.0;445.0;204.0;303.0;434.0;246.0;477.0;466.0;469.0;774.0;656.0;468.0;477.0;571.0
363.0;718.0;563.0;592.0;816.0;561.0;836.0;593.0;684.0;909.0;574.0;461.0;954.0;488.0;558.0;445.0;484.0;413.0;475.0;404.0;394.0;565.0;423.0;420.0;652.0;689.0;565.0;347.0;420.0;689.0;475.0;295.0;469.0;470.0;267.0;654.0;558.0;692.0;1351.0;693.0;602.0;562.0;649.0
566.0;852.0;677.0;714.0;919.0;682.0;918.0;674.0;1035.0;1057.0;598.0;824.0;1225.0;562.0;582.0;1049.0;578.0;455.0;561.0;505.0;435.0;699.0;479.0;477.0;778.0;915.0;644.0;444.0;482.0;951.0;693.0;425.0;650.0;644.0;341.0;687.0;708.0;782.0;1508.0;782.0;739.0;701.0;895.0
710.0;980.0;803.0;858.0;947.0;808.0;965.0;796.0;1139.0;1161.0;698.0;906.0;1359.0;606.0;602.0;1089.0;1065.0;492.0;608.0;562.0;568.0;961.0;509.0;736.0;1022.0;1051.0;675.0;469.0;680.0;998.0;717.0;447.0;701.0;680.0;430.0;823.0;951.0;931.0;1533.0;955.0;872.0;910.0;1017.0
796.0;1116.0;936.0;987.0;1027.0;830.0;1047.0;913.0;1251.0;1263.0;1133.0;931.0;1383.0;700.0;825.0;1138.0;1141.0;565.0;700.0;824.0;735.0;1096.0;573.0;812.0;1042.0;1155.0;747.0;569.0;708.0;1169.0;955.0;474.0;830.0;787.0;565.0;924.0;1383.0;1061.0;1696.0;1090.0;998.0;960.0;1099.0
843.0;1242.0;1043.0;1111.0;1056.0;941.0;1154.0;1041.0;1500.0;1393.0;1256.0;1013.0;1501.0;941.0;1090.0;1460.0;1162.0;679.0;823.0;874.0;835.0;1234.0;611.0;840.0;1165.0;1213.0;777.0;709.0;829.0;1333.0;1021.0;677.0;950.0;1010.0;698.0;949.0;1490.0;1096.0;1791.0;1125.0;1136.0;1093.0;1351.0
928.0;1364.0;1146.0;1239.0;1159.0;1021.0;1238.0;1147.0;1639.0;1631.0;1507.0;1061.0;1570.0;1052.0;1133.0;1493.0;1282.0;827.0;1053.0;904.0;868.0;1795.0;712.0;930.0;1259.0;1508.0;829.0;827.0;895.0;1360.0;1046.0;707.0;1016.0;1232.0;824.0;1098.0;1528.0;1125.0;1936.0;1338.0;1263.0;1223.0;1376.0
972.0;1520.0;1266.0;1359.0;1247.0;1049.0;1348.0;1233.0;1812.0;1693.0;1645.0;1117.0;1738.0;1131.0;1216.0;1705.0;1403.0;1356.0;1118.0;1010.0;952.0;2017.0;786.0;1117.0;1472.0;1620.0;1003.0;862.0;974.0;1491.0;1165.0;770.0;1056.0;1370.0;963.0;1120.0;1677.0;1267.0;2026.0;1495.0;1541.0;1503.0;1702.0
