MU;Nb_Spikes;Fr_Hz;CoV_%;Correlation_CCA
1;92;18,9676;23,5194;1,0
2;121;23,7336;25,2634;1,0
3;76;15,4001;16,2318;0,9999
4;116;21,6942;22,2974;0,9999
5;74;15,3855;16,0647;0,9999
6;91;20,302;17,7528;0,9997
7;95;20,0022;14,5037;0,9997
8;105;19,6152;21,6693;0,9995
9;143;22,5159;19,2685;0,9994
10;113;22,7672;28,2015;0,9991
11;85;21,6804;26,1427;0,999
12;115;21,6968;19,4239;0,999
13;106;22,1974;26,7843;0,998
14;70;20,1132;25,3655;0,9975
15;114;29,1047;28,1799;0,9953
16;103;23,4001;26,8862;0,9949
17;101;22,5562;27,0002;0,9919
18;95;20,2697;25,2274;0,9904
19;76;21,3445;25,1882;0,9901
20;97;23,6959;26,4101;0,9849
21;93;25,226;28,5072;0,9774
22;89;20,6909;25,7595;0,9741
23;107;26,0097;28,0217;0,9672
24;110;24,9298;23,2029;0,957
25;110;25,2304;24,7797;0,9494
26;90;20,9571;29,082;0,9226
27;92;25,4024;29,1678;0,9164
28;79;20,5944;26,5889;0,882
29;76;18,5976;28,0179;0,8689
30;86;17,9649;23,2329;0,8323
31;97;29,1836;28,8367;0,8134
32;67;17,6666;26,886;0,7757
33;50;16,4782;18,7813;0,7127
34;48;16,0261;18,1491;0,6716
35;49;17,1268;23,7422;0,6521
36;84;23,1849;27,4244;0,6181
37;67;18,8357;29,2989;0,5743
38;76;19,3468;25,7156;0,5445
39;73;15,1822;13,604;0,5067
