CCA_MU_1;CCA_MU_2;CCA_MU_3;CCA_MU_4;CCA_MU_5;CCA_MU_6;CCA_MU_7;CCA_MU_8;CCA_MU_9;CCA_MU_10;CCA_MU_11;CCA_MU_12;CCA_MU_13;CCA_MU_14
1245.0;2953.0;1042.0;3209.0;441.0;146.0;178.0;585.0;122.0;122.0;122.0;8.0;7.0;5.0
2800.0;4204.0;1944.0;3984.0;634.0;518.0;314.0;1047.0;2943.0;157.0;144.0;80.0;282.0;123.0
2950.0;5147.0;2063.0;4288.0;1501.0;966.0;453.0;1236.0;4735.0;282.0;266.0;123.0;371.0;144.0
4605.0;5570.0;2683.0;5163.0;1759.0;1234.0;597.0;1762.0;5140.0;417.0;419.0;481.0;481.0;371.0
5872.0;7659.0;2809.0;6300.0;2107.0;1756.0;838.0;2222.0;5268.0;534.0;563.0;528.0;583.0;528.0
8774.0;8348.0;3723.0;9139.0;2540.0;2259.0;968.0;3084.0;5860.0;658.0;687.0;621.0;685.0;653.0
;8651.0;3752.0;;2974.0;3494.0;1098.0;4391.0;6464.0;892.0;804.0;702.0;784.0;685.0
;8912.0;4489.0;;3316.0;3676.0;1259.0;4731.0;6745.0;966.0;882.0;962.0;892.0;1039.0
;9843.0;4518.0;;3851.0;3750.0;1503.0;5569.0;8188.0;1051.0;933.0;1039.0;1165.0;1064.0
;9948.0;4724.0;;4066.0;4331.0;1637.0;5654.0;8643.0;1268.0;1039.0;1096.0;1285.0;1096.0
;;5572.0;;4362.0;5977.0;1762.0;7419.0;8769.0;1400.0;1165.0;1249.0;1351.0;1165.0
;;5906.0;;4624.0;6855.0;1947.0;7674.0;8896.0;1585.0;1363.0;1285.0;1429.0;1235.0
;;6595.0;;4711.0;7291.0;2109.0;8093.0;8983.0;1844.0;1429.0;1447.0;1497.0;1258.0
;;7167.0;;5150.0;7718.0;2260.0;8896.0;9443.0;1949.0;1603.0;1677.0;1677.0;1351.0
;;7962.0;;5461.0;8665.0;2416.0;9057.0;;2072.0;2172.0;1712.0;1719.0;1429.0
;;8084.0;;5559.0;8796.0;2687.0;9360.0;;2390.0;2225.0;1831.0;1831.0;1531.0
;;8903.0;;5656.0;8998.0;2825.0;9450.0;;2496.0;2267.0;2033.0;1917.0;1635.0
;;9447.0;;5776.0;9742.0;2971.0;9843.0;;2607.0;2384.0;2148.0;2103.0;1685.0
;;;;5875.0;9934.0;3125.0;;;2717.0;2494.0;2259.0;2148.0;2079.0
;;;;6102.0;9962.0;3266.0;;;2818.0;2653.0;2571.0;2231.0;2222.0
;;;;6284.0;;3402.0;;;3084.0;2937.0;2600.0;2267.0;2267.0
;;;;6730.0;;3526.0;;;3342.0;2965.0;2892.0;2495.0;2333.0
;;;;6903.0;;3684.0;;;3488.0;3303.0;2965.0;2538.0;2494.0
;;;;8064.0;;3797.0;;;3616.0;3347.0;3197.0;2778.0;2571.0
;;;;8148.0;;3933.0;;;3761.0;3367.0;3347.0;2857.0;2599.0
;;;;8235.0;;4067.0;;;3879.0;3492.0;3794.0;2965.0;2683.0
;;;;8337.0;;4221.0;;;3990.0;3722.0;3935.0;3119.0;2708.0
;;;;8657.0;;4362.0;;;4397.0;3763.0;4065.0;3173.0;2818.0
;;;;9226.0;;4491.0;;;4527.0;3846.0;4365.0;3347.0;2848.0
;;;;9457.0;;4621.0;;;4627.0;3911.0;4517.0;3453.0;2879.0
;;;;9543.0;;4745.0;;;4859.0;4033.0;4623.0;3520.0;2965.0
;;;;9747.0;;4880.0;;;5059.0;4328.0;4876.0;3563.0;3137.0
;;;;9936.0;;5024.0;;;5168.0;4457.0;5072.0;3794.0;3347.0
;;;;10212.0;;5164.0;;;5432.0;4487.0;5134.0;3902.0;3537.0
;;;;;;5325.0;;;5529.0;4593.0;5184.0;3927.0;3760.0
;;;;;;5474.0;;;5590.0;4711.0;5233.0;4227.0;3802.0
;;;;;;5588.0;;;5977.0;4846.0;5268.0;4298.0;3930.0
;;;;;;5742.0;;;6138.0;4990.0;5355.0;4357.0;4141.0
;;;;;;5887.0;;;6502.0;5130.0;5476.0;4389.0;4230.0
;;;;;;6052.0;;;6605.0;5553.0;5654.0;4619.0;4298.0
;;;;;;6171.0;;;6730.0;5625.0;5744.0;4877.0;4389.0
;;;;;;6304.0;;;7031.0;5654.0;5790.0;4954.0;4487.0
;;;;;;6474.0;;;7403.0;5853.0;5945.0;5134.0;4545.0
;;;;;;6622.0;;;7674.0;5976.0;6026.0;5243.0;4619.0
;;;;;;6764.0;;;7735.0;6018.0;6138.0;5319.0;4800.0
;;;;;;6887.0;;;7835.0;6137.0;6165.0;5355.0;4901.0
;;;;;;7029.0;;;8087.0;6270.0;6270.0;5508.0;4945.0
;;;;;;7323.0;;;8331.0;6314.0;6314.0;5790.0;5184.0
;;;;;;7467.0;;;8547.0;6440.0;6469.0;5876.0;5296.0
;;;;;;7604.0;;;8671.0;6470.0;6691.0;6018.0;5509.0
;;;;;;7678.0;;;8801.0;6730.0;6731.0;6138.0;5603.0
;;;;;;7816.0;;;8896.0;6853.0;6879.0;6165.0;5745.0
;;;;;;7957.0;;;9124.0;6885.0;7115.0;6224.0;5876.0
;;;;;;8118.0;;;9224.0;7255.0;7326.0;6440.0;5919.0
;;;;;;8217.0;;;9360.0;7289.0;7419.0;6470.0;5976.0
;;;;;;8366.0;;;9454.0;7433.0;7522.0;6566.0;6105.0
;;;;;;8513.0;;;9573.0;7522.0;7674.0;6589.0;6137.0
;;;;;;8664.0;;;9679.0;7570.0;7923.0;6730.0;6261.0
;;;;;;8908.0;;;9706.0;7598.0;8036.0;6853.0;6351.0
;;;;;;8929.0;;;9772.0;7781.0;8378.0;6959.0;6430.0
;;;;;;9221.0;;;9863.0;7923.0;8418.0;7165.0;6470.0
;;;;;;9316.0;;;;8048.0;8514.0;7249.0;6599.0
;;;;;;9467.0;;;;8183.0;8660.0;7495.0;6634.0
;;;;;;9860.0;;;;8295.0;8722.0;7522.0;6730.0
;;;;;;9966.0;;;;8333.0;8801.0;7598.0;6816.0
;;;;;;10099.0;;;;8763.0;8895.0;7674.0;7147.0
;;;;;;10231.0;;;;8895.0;9085.0;7848.0;7255.0
;;;;;;;;;;8983.0;9316.0;8036.0;7326.0
;;;;;;;;;;9056.0;9670.0;8112.0;7522.0
;;;;;;;;;;9085.0;9747.0;8794.0;7597.0
;;;;;;;;;;9187.0;9826.0;8962.0;7710.0
;;;;;;;;;;9282.0;9858.0;9187.0;8085.0
;;;;;;;;;;9433.0;10094.0;9622.0;8153.0
;;;;;;;;;;9640.0;;9706.0;8233.0
;;;;;;;;;;9826.0;;9767.0;8256.0
;;;;;;;;;;9858.0;;9819.0;8341.0
;;;;;;;;;;10039.0;;9854.0;8801.0
;;;;;;;;;;10197.0;;9962.0;9227.0
;;;;;;;;;;;;10008.0;9316.0
;;;;;;;;;;;;10092.0;9360.0
;;;;;;;;;;;;;9475.0
;;;;;;;;;;;;;9542.0
;;;;;;;;;;;;;9572.0
;;;;;;;;;;;;;9707.0
;;;;;;;;;;;;;9867.0
;;;;;;;;;;;;;9962.0
